"index.typestatus","reps"
"voucher of chrysogorgia desbonni",14
"voucher of coroniceras lyra",14
"voucher of cryptolithus tesselatus",14
"voucher of equus niobrarensis, page 50 in <a href=\http://arctos.database.museum/publication/10004547\>harris and porter 1980</a>",14
"voucher of gogia spiralis",14
"voucher of hypomphalocirrus rugosus",14
"voucher of mitrocystites mitra",14
"voucher of paratirolites kittli",14
"additional material of brycon amazonicus",13
"additional material of lyrodus pedicellatus",13
"additional material of pseudoscopelus altipinnis",13
"basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a>, page 13 in <a href=\http://arctos.database.museum/publication/10006482\>shapiro et al. 2004</a>; basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a> in <a href=\http://arctos.database.museum/publication/10006666\>mann et al. 2013</a>",13
"genetic voucher of anolis armouri",13
"genetic voucher of lasius umbratus",13
"genetic voucher of pachytriton brevipes| genetic voucher of pachytriton brevipes",13
"paralectotype of citellus tridecemlineatus pallidus| syntype of spermophilus tridecemlineatus var. pallidus| additional material of spermophilus tridecemlineatus var. pallidus",13
"paratype of anolis occultus",13
"paratype of arganthomyza duplex",13
"paratype of asemostera daedalus",13
"paratype of celotes limpia",13
"paratype of chamaeleo dilepis idjwiensis",13
"paratype of colonina hydii",13
"paratype of darlingtonia haetiana vaticinata",13
"paratype of diploglossus curtissi hylonomus",13
"paratype of dubiaranea crebra",13
"paratype of eleutherodactylus minutus",13
"paratype of eleutherodactylus parvus| additional material of eleutherodactylus parvus",13
"paratype of eustypocystis minor",13
"paratype of gymnophthalmus underwoodi",13
"paratype of hemidactylus palaichthus",13
"paratype of hyla miyatai",13
"paratype of hyperolius argus ahli",13
"paratype of oabius dissimulans",13
"paratype of ophiura leptoctenia",13
"paratype of pheidole amazonica",13
"paratype of pheidole anima",13
"paratype of prionodactylus marianus| additional material of prionodactylus marianus",13
"paratype of riopa tanae",13
"paratype of sciurus hudsonicus orarius",13
"paratype of sphaerodactylus klauberi",13
"paratype of stenotabanus lerida",13
"paratype of strophatrypa skaflestadi, page 4 in <a href=\http://arctos.database.museum/publication/10006413\>boucot et al. 2012</a>",13
"paratype of tabanus maya",13
"paratype. published 2003.j. paleont. 77(2). 2003, pp. 323-330.",13
"syntype of carabodes nigra",13
"syntype of cerithiopsis (?) crystallina",13
"syntype of macrurus anguliceps| paralectotype of macrurus anguliceps",13
"syntype of sphaerodactylus flavicaudus",13
"syntype of stephanocidaris hawaiiensis",13
"syntype of succinea ovalis",13
"type of geralophus fossicius",13
"type of tipula rigens",13
"type of tipulidea picta",13
"voucher of anomalocaris canadensis",13
"voucher of catillicephala lata",13
"voucher of clavilithes rugosus",13
"voucher of coroniceras rotiforme",13
"voucher of cryptacanthodes maculatus",13
"voucher of hypoplectrus puella",13
"voucher of polyipnus limatulus",13
"voucher of sphaerexochus romingeri",13
"voucher of symphurus tessellatus",13
"voucher of villogorgia nigrescens",13
"additional material of tiaris olivacea dissita",12
"genetic voucher of troglosiro",12
"hickman, 1976.",12
"para",12
"paralectotype of anolis cepedii extremus",12
"paralectotype of thinobius brachypterus",12
"paratype of acrochordus arafurae",12
"paratype of ameiva lineolata perplicata",12
"paratype of ameiva wetmorei eleanorae| paratype of ameiva eleanorae",12
"paratype of anolis lineatopus ahenobarbus",12
"paratype of anolis marmoratus kahouannensis",12
"paratype of anolis medemi",12
"paratype of anolis stevepoei",12
"paratype of anolis whitemani breslini",12
"paratype of anthracus nathani",12
"paratype of arthroleptis xenodactyloides nyikae",12
"paratype of breda notata",12
"paratype of calyptogena magnifica",12
"paratype of carlia aenigma",12
"paratype of centrolenella gemmata",12
"paratype of ceratozetes kananaskis",12
"paratype of cerion (strophiops) piraticus",12
"paratype of cryptops niuensis",12
"paratype of dendrobates quinquevittatus",12
"paratype of dolichopus porphyrops",12
"paratype of dysderina silvatica",12
"paratype of eleutherodactylus atkinsi atkinsi",12
"paratype of eleutherodactylus persimilis",12
"paratype of eleutherodactylus tenebrionis",12
"paratype of eleutherodactylus wetmorei sommeri",12
"paratype of euphydryas anicia effi",12
"paratype of eustala exigua",12
"paratype of leptotyphlops phillipsi",12
"paratype of liguus crenatus floridanus",12
"paratype of liopholidophis epistibes",12
"paratype of litoria contrastens",12
"paratype of melanargia lachesis race weeksi",12
"paratype of metoicoceras whitei",12
"paratype of micrathena banksi",12
"paratype of mustela atrata",12
"paratype of ochthebius bruesi",12
"paratype of petrobunus torosus",12
"paratype of pheidole aana",12
"paratype of pheidole gagates",12
"paratype of pheidole leonina",12
"paratype of pheidole nitella",12
"paratype of pilumnoplax nitida",12
"paratype of pseudemys decussata angusta",12
"paratype of pseudobranchus striatus axanthus",12
"paratype of rana oxyrhynchus",12
"paratype of rana timorensis",12
"paratype of sphaerodactylus copei cataplexis",12
"paratype of sphaerodactylus copei pelates",12
"paratype of sphaerodactylus macrolepis mimetes",12
"paratype of sphaerodactylus macrolepis phoerus",12
"paratype of stelliferus rastrifer",12
"paratype of tabanus sackeni",12
"paratype of triakis barbouri",12
"paratype of tropidophis greenwayi lanthanus",12
"paratype of wetmorena haetiana surda",12
"plastotype. published 1912.",12
"pleisiotype",12
"syntype of cistudo triunguis",12
"syntype of cyathophycus reticulatus",12
"syntype of desmacella vagabunda",12
"syntype of lasius occidentalis",12
"syntype of leiolepisma austrocaledonicum atropunctatum",12
"syntype of lycoria aulica (statz, 1944)",12
"syntype of munida constricta",12
"syntype of mycterus canescens| paralectotype of mycterus canescens",12
"syntype of myrmica sabuleti hamulata",12
"syntype of nibilia armata",12
"syntype of pheidole vasliti var. acolhua",12
"syntype of pyrgus pelagica",12
"syntype of spongia officinalis tubulifera  var. rotunda",12
"syntype of thamnotettix gracilentus statz, 1950",12
"type of cryptorhynchus kerri",12
"type of heterophlebia eximia",12
"type of palecphora marvinei",12
"voucher of acanthoprimnoa goesi",12
"voucher of <a href=\http://arctos.database.museum/name/microtus montanus\>microtus montanus</a>, page 11 in <a href=\http://arctos.database.museum/publication/10007811\>smartt 1977</a>",12
"voucher of bajacalifornia megalops",12
"voucher of bullia integra",12
"voucher of caligorgia gracilis",12
"voucher of dictyna major",12
"voucher of echinomuricea atlantica",12
"voucher of hircinia campana",12
"voucher of isotelus simplex",12
"voucher of liparis coheni",12
"voucher of neocomatella pulchella",12
"voucher of orchestina baltica",12
"voucher of prochilodus vimboides",12
"voucher of schizoblastus sayi",12
"additional material of eleutherodactylus atkinsi orientalis| paratype of eleutherodactylus atkinsi orientalis",11
"additional material of hyla parkeri| paratype of hyla parkeri",11
"additional material of mastophora fasciata",11
"additional material of tenagodus squamatus",11
"basis of illustration of <a href=\http://arctos.database.museum/name/bison\>bison</a>, page 10 in <a href=\http://arctos.database.museum/publication/10006482\>shapiro et al. 2004</a>",11
"basis of illustration of <a href=\http://arctos.database.museum/name/dromaeosauridae\>dromaeosauridae</a>, page 677 in <a href=\http://arctos.database.museum/publication/10006882\>fiorillo and gangloff 2001</a>",11
"cast",11
"cotype?",11
"genetic voucher of phrynobatrachus steindachneri",11
"grant and gale, 1931.",11
"holotype.",11
"holotype; type",11
"hypodigm?",11
"isosyntype",11
"paralectotype of munida stimpsoni| syntype of munida stimpsoni",11
"paratype of alsophis sanctonum",11
"paratype of alsophis vudii raineyi",11
"paratype of ameiva chrysolaema quadrijugis",11
"paratype of ameiva vanzoi",11
"paratype of anolis baleatus scelestus",11
"paratype of atelopus coynei",11
"paratype of austrochaperina rivularis",11
"paratype of batrachylodes montanus",11
"paratype of boophis lichenoides",11
"paratype of brookesia ionidesi",11
"paratype of bufo guntheri",11
"paratype of calisto arcas",11
"paratype of chamaeleo rudis sternfeldi",11
"paratype of clavellofusus spiratus",11
"paratype of cornufer acrochordus",11
"paratype of didelphis virginiana pigra",11
"paratype of diploglossus costatus oreistes",11
"paratype of eleutherodactylus gossei oligaulax",11
"paratype of gerrhosaurus flavigularis fitzsimonsi",11
"paratype of heliconius charitonius tuckeri",11
"paratype of hesperia proto aragonensis",11
"paratype of hyla carnifex",11
"paratype of hyla colymba",11
"paratype of leiocephalus lunatus lewisi",11
"paratype of liguus crenatus aurantius",11
"paratype of lycosa festina",11
"paratype of lygodactylus capensis mossambica",11
"paratype of mabuya englei",11
"paratype of microtus provectus",11
"paratype of munida schroederi",11
"paratype of omphalotropis cookei",11
"paratype of pheidole albipes",11
"paratype of pheidole aripoensis",11
"paratype of pheidole hortonae",11
"paratype of pheidole melastomae",11
"paratype of pheidole prostrata",11
"paratype of pheidole sigillata",11
"paratype of polymita versicolor var. reticulata",11
"paratype of proaulacopleura gelasinata",11
"paratype of pseudestheria brevis",11
"paratype of scopelarchoides danae",11
"paratype of sloperia proto williamsi",11
"paratype of stenoonops cletus",11
"paratype of telmatobius walkeri",11
"paratype of xenopus kobeli",11
"paratype. published 2005.the veliger 47(4):259-276 (nov. 30, 2005).",11
"paratype. published 2008.nyborg, t. and f. j. vega, 2008. three new fossil species of lophomastix (decapoda: blepharipodidae) from the cenozoic of washington. journal of crustacean biology 28(2): 361-369.",11
"pl-cotype",11
"published 2007.the veliger 48(4):247-259 (january 25. 2007).",11
"syntype of actineda agilis",11
"syntype of alsophis cinereus",11
"syntype of amusium pourtalesianum",11
"syntype of anolis trossulus",11
"syntype of argyropelecus lychnus",11
"syntype of bythoscopus sepultus austerus",11
"syntype of camponotus claripes piperatus",11
"syntype of camponotus ramulorum marcidus",11
"syntype of chalcinus angulatus vittatus",11
"syntype of cicindela pamphila",11
"syntype of culicoides elongatulus statz, 1944",11
"syntype of cyclodorippe antennaria",11
"syntype of galathodes sigsbei",11
"syntype of leiocephalus melanochlorus",11
"syntype of leptopelis barbouri",11
"syntype of leptothorax acervorum crassipilis",11
"syntype of leptothorax emersoni",11
"syntype of munida irrasa",11
"syntype of myrmica mexicana",11
"syntype of myrmica sabuleti nearctica",11
"syntype of notoncus gilberti annectens",11
"syntype of osachila antillensis",11
"syntype of pamphila chinoba",11
"syntype of polyergus lucidus montivagus",11
"syntype of succinea avara",11
"topotype of chamaeleo fischeri matschie",11
"type of closterocoris elegans",11
"type of evopes veneratus",11
"type of planocephalus aselloides",11
"type of tipula limi",11
"type of tipulidea consumpta",11
"voucher of cyzicus ovatos",11
"voucher of eucalyptocrinus rosaceus",11
"voucher of glycymeris subovata",11
"voucher of gogia prolifica",11
"voucher of gryphochiton priscus",11
"voucher of hoplitis sp.",11
"voucher of metriophyllum exiguum",11
"voucher of orophocrinus stelliformis",11
"voucher of poecilozonites bermudensis",11
"voucher of proboscidella proboscidea",11
"voucher of rakaia",11
"voucher of steganocrinus pentagonus",11
"voucher of subvishnuites sp",11
"voucher of tetragnatha versicolor",11
"voucher of trinucleoides reussi",11
"additional material of accola downeyi",10
"additional material of mangora amchickeringi",10
"additional material of mastophora bisaccata",10
"additional material of neostasina liguanea",10
"additional material of pseudoscopelus scriptus",10
"genetic voucher of amazilia saucerrottei",10
"genetic voucher of gallinula chloropus sandvicensis",10
"genetic voucher of tryngites subruficollis",10
"genoholotype",10
"paralectotype of anolis roquet extremus",10
"paralectotype of cneorane femoralis| syntype of cneorane femoralis",10
"paralectotype of pachybrachys varians| syntype? of pachybrachys varians",10
"paralectotype of staphylinus viridanus",10
"paralectotype; paralectotype",10
"paratopotype of desmognathus valentinei",10
"paratype of acestrorhynchus minimus",10
"paratype of adelomyrmex (arctomyrmex) samoanus",10
"paratype of aenictus asantei",10
"paratype of agama lionotus usambarae",10
"paratype of ameiva corax",10
"paratype of amphibolurus barbatus minor",10
"paratype of amphisbaena xera",10
"paratype of anolis chrysolepis scypheus",10
"paratype of anolis ernestwilliamsi",10
"paratype of anolis homolechis cuneus",10
"paratype of anolis olssoni montivagus",10
"paratype of anthomyza equiseti",10
"paratype of anthomyza furvifrons",10
"paratype of anthomyza vulgaris",10
"paratype of bankia caribbea",10
"paratype of basiliscus basiliscus barbouri",10
"paratype of blastoidocrinus elongatus",10
"paratype of bufo kisaluensis",10
"paratype of bufo micranotis rondoensis| additional material of bufo micranotis rondoensis",10
"paratype of calisto chrysaoros",10
"paratype of callixalus pictus",10
"paratype of colostethus olmonae",10
"paratype of emoia loveridgei",10
"paratype of eumaeus atala grayi",10
"paratype of eustala venusta",10
"paratype of hemidactylus tropidolepis barbouri| additional material of hemidactylus tropidolepis barbouri",10
"paratype of hyperolius tuberilinguis tuberilinguis",10
"paratype of iridomyrmex hispaniolae",10
"paratype? of lampropeltis triangulum conanti",10
