"typeStatus","reps"
"Paratype of Emoia mivarti fuscolineata",19
"Paratype of Epicauta phoenix",19
"Paratype of Leiocephalus hodsdoni",19
"Paratype of Leptodactylus curtus",19
"Paratype of Lithobius tuobukus",19
"Paratype of Melanoseps ater misukuensis",19
"Paratype of Melanoseps ater rondoensis| Additional Material of Melanoseps ater rondoensis",19
"Paratype of Ophiernus adspersus",19
"Paratype of Opisthosiphon acklinsensis",19
"Paratype of Pheidole cursor",19
"Paratype of Photostomias goodyeari",19
"Paratype of Phrynomantis stictogaster",19
"Paratype of Phrynosoma orbiculare orientale",19
"Paratype of Putorius (Lutreola) lutensis",19
"Paratype of Sapromyza disjuncta",19
"Paratype of Sphaerodactylus copei enodurus",19
"Paratype of Tabanus kompi",19
"Paratype of Tachys masculus",19
"part of holotype",19
"Syntype of Archaster mirabilis",19
"Syntype of Hypolycaena festata",19
"Syntype of Syrphus rectus",19
"Type of Geralophus antiquarius",19
"Type of Procrophius communis",19
"Type of Stenovelia nigra",19
"voucher of <a href=\http://arctos.database.museum/name/Equus conversidens\>Equus conversidens</a>, page 50 in <a href=\http://arctos.database.museum/publication/10004547\>Harris and Porter 1980</a>",19
"voucher of <a href=\http://arctos.database.museum/name/Equus conversidens\>Equus conversidens</a>, page 51 in <a href=\http://arctos.database.museum/publication/10004547\>Harris and Porter 1980</a>",19
"Voucher of Bembidion nigropiceum",19
"Voucher of Comactinia meridionalis meridionalis| Voucher of Comactinia echinoptera",19
"Voucher of Strenuella strenua",19
"Additional Material of Missisquoia typicalis",18
"basis of illustration of <a href=\http://arctos.database.museum/name/Alces\>Alces</a> in <a href=\http://arctos.database.museum/publication/10006666\>Mann et al. 2013</a>",18
"MENT.",18
"Neotype",18
"Paratype of Anolis cristatellus wileyae",18
"Paratype of Cnemaspis africanus elgonensis",18
"Paratype of Costatoblastus sappingtonensis",18
"Paratype of Crotaphopeltis braestrupi",18
"Paratype of Eleutherodactylus albipes",18
"Paratype of Eustala longembola",18
"Paratype of Koryschisma elegans| Voucher of Koryschisma elegans",18
"Paratype of Lasius clavigeroides",18
"Paratype of Leiocephalus personatus actites",18
"Paratype of Leiocephalus stictigaster lucianus",18
"Paratype of Leiolepis triploida",18
"Paratype of Lepidodactylus magnus",18
"Paratype of Pheidole galba",18
"Paratype of Pheidole mirabilis",18
"Paratype of Pheidole polymorpha",18
"Paratype of Pheidole tobini",18
"Paratype of Platysaurus mitchelli",18
"Paratype of Praomys fumatus oweni",18
"Paratype of Sphaerodactylus exsul",18
"Paratype of Strongyloblastus breimeri",18
"Paratype of Tachys bolus",18
"Paratype of Trachymyrmex pomonae",18
"Paratype of Wagneriana maseta",18
"Syntype of Anolis cepedii gentilis",18
"Syntype of Pamphila alleni",18
"Syntype of Phormosoma Sigsbei",18
"Topotype of Chamaeleo fulleborni",18
"Voucher of Calymene senaria",18
"Voucher of Lepophidium profundorum",18
"Voucher of Olenellus transitans| Voucher of Olenellus transitans",18
"Voucher of Ophidion robinsi",18
"Voucher of Rhophalithes noae",18
"Hypotype and Topotype",17
"Illustrated",17
"metatype",17
"neoparatype",17
"Paralectotype of Pachybrachys carolinensis| Syntype? of Pachybrachys carolinensis",17
"Paratype of Acrodipsas aurata",17
"Paratype of Ameiva birdorum",17
"Paratype of Anolis coelestinus pecuarius",17
"Paratype of Anolis hendersoni dolidrocephalus",17
"Paratype of Anolis lyra",17
"Paratype of Bufo dunni",17
"Paratype of Clavilithes subscalaris",17
"Paratype of Colostethus faciopunctulatus",17
"Paratype of Desmognathus abditus",17
"Paratype of Diolenus minotaurus",17
"Paratype of Eleutherodactylus grabhami",17
"Paratype of Epicauta liebecki",17
"Paratype of Epicauta occidentalis",17
"Paratype of Gymnodactylus pelagicus",17
"Paratype of Helmis thermarum",17
"Paratype of Leptodeira larcorum",17
"Paratype of Leptotyphlops tanae",17
"Paratype of Limnodynastes spenceri",17
"Paratype of Liopholidophis rhadinaea",17
"Paratype of Lutra degener",17
"Paratype of Mecistocephalus nigriceps",17
"Paratype of Montanablastus baldyensis",17
"Paratype of Otomys anchietae lacustris",17
"Paratype of Pheidole astur",17
"Paratype of Pheidole hispaniolae",17
"Paratype of Pheidole iracunda",17
"Paratype of Pheidole spathipilosa",17
"Paratype of Pheidole vestita",17
"Paratype of Pristimantis chimu",17
"Paratype of Protazteca elongata",17
"Paratype of Rhampholeon platyceps",17
"Paratype of Stenocercus latebrosus",17
"Paratype of Xenopus allofraseri",17
"Plastoholotype. Published 1912.",17
"plastolectotype",17
"Syntype of Anolis asper",17
"Syntype of Myrmica brevinodis discontinua",17
"Syntype of Myrmica brevinodis var. subalpina",17
"Syntype of Placenticeras whitfieldi",17
"voucher of <a href=\http://arctos.database.museum/name/Neotoma pygmaea\>Neotoma pygmaea</a>, page 565 in <a href=\http://arctos.database.museum/publication/10004544\>Harris 1984</a>",17
"Voucher of Basiliella barrandi",17
"Voucher of Bovicornellum vermontense",17
"Voucher of Bullia quadrata",17
"Voucher of Ceraurus pleurexanthemus| Voucher of Ceraurus pleurexanthemus",17
"Voucher of Comatella nigra",17
"Voucher of Cryptoblastus? sp.A",17
"Voucher of Knemiceras syriacum",17
"Voucher of Metasiro americanus",17
"Voucher of Rhaphanocrinus subnodosus",17
"Voucher of Tanaoblastus haynesi",17
"Voucher of Triarthrus eatoni",17
"Additional Material of Symphysurina (Symphysuroides) minima",16
"Figured Specimen. Published 2016.Yamaguchi, Goedert, and Kiel. 2016. Marine ostracodes from Paleogene hydrocarbon seep deposits in Washington State, USA and their ecological structure. Geobios 49 (2016) 407–422.",16
"Paralectotype of Gastrotrypes caudatus| Paratype of Gastrotrypes caudatus",16
"Paratype of Anolis gaigei",16
"Paratype of Anolis marmoratus chrysops",16
"Paratype of Candoia carinata paulsoni| Paratype of Enygrus carinatus paulsoni",16
"Paratype of Cerion eximium williamsi",16
"Paratype of Chamaeleo hoehnelii altaeegonis",16
"Paratype of Chamaeleo jacksonii merumontanus",16
"Paratype of Dolopomyrmex pilatus",16
"Paratype of Gegeneophis ramaswamii",16
"Paratype of Gekko pumilis",16
"Paratype of Hyperolius ahli| Additional Material of Hyperolius ahli",16
"Paratype of Indomyrma dasypyx",16
"Paratype of Leiocephalus carinatus armouri",16
"Paratype of Microtus chrotorrhinus ravus",16
"Paratype of Myotis abbotti nugax",16
"Paratype of Pheidole diabolus",16
"Paratype of Pheidole strigosa",16
"Paratype of Pheidole tristicula",16
"Paratype of Pheidole tschinkeli",16
"Paratype of Physalaemus coloradorum",16
"Paratype of Poanes batesi",16
"Paratype of Psammophis biseriatus tanganicus| Additional Material of Psammophis biseriatus tanganicus",16
"Paratype of Pseudacris regilla cascadae",16
"Paratype of Psilopus nitidicauda",16
"Paratype of Sphaerodactylus elegantulus",16
"Paratype of Sphaerodactylus notatus atactus",16
"Paratype of Tanaoblastus allanensis",16
"Paratype of Totiglobus nimius",16
"plastoparalectotype",16
"Syntype of Ithomia drogheda",16
"Type of Leptobrochus luteus",16
"Type of Mesobrochus imbecillus",16
"Voucher of Clavilithes scalaris",16
"Voucher of Dithyrocaris paradoxides",16
"voucher of Equus niobrarensis, page 52 in <a href=\http://arctos.database.museum/publication/10004547\>Harris and Porter 1980</a>",16
"Voucher of Euthriofusus burdigalensis",16
"Voucher of Homarus americanus",16
"Voucher of Liparis fabricii",16
"Voucher of Lovenechinus missouriensis",16
"basis of illustration of <a href=\http://arctos.database.museum/name/Insecta\>Insecta</a>, page 3 in <a href=\http://arctos.database.museum/publication/10006415\>Grimaldi and Triplehorn 2008</a>",15
"Genetic Voucher of Amnirana albolabris",15
"Genetic Voucher of Ethobunus",15
"genetic voucher of Lasius niger",15
"Paratype of Arnautoceltites teicherti",15
"Paratype of Bombylius fraudulentus",15
"Paratype of Conus proteus",15
"Paratype of Cryptomys hottentotus occlusus",15
"Paratype of Eleutherodactylus talamancae",15
"Paratype of Erethizon dorsatus picinus",15
"Paratype of Gekko vittatus",15
"Paratype of Glyptotrophia spinosa",15
"Paratype of Lygosoma lobulus",15
"Paratype of Pheidole allarmata",15
