"scientificNameAuthorship","reps"
"Branson & Mehl",377
"Wachsmuth & Springer",377
"W. Kirby, 1813",376
"(Keyserling)",375
"(Forel, 1901)",374
"(Lesson, 1826, in Deperrey (ed.))",374
"Martin",374
"(Olivi, 1792)",374
"(Voight, 1832)",374
"Casey 1900",373
"Cushman 1926",373
"(DeGeer)",372
"(Lea 1926)",372
"(Plummer)",372
"Wheeler, W.M., 1904",372
"Johnson, 1864",371
"(Baird & Baird, 1843)",370
"(Beyrich)",370
"Dall, 1886",370
"Bangs, 1897",369
"Dall, 1881",369
"Newell",369
"Reeside & Cobban",369
"(Scudder & Burgess, 1870)",369
"Strimple",369
"(Wilson, 1811)",369
"(Boie, 1827)",368
"(Meek & Hayden, 1858)",368
"Johnson, 1862",366
"(Meek, 1873)",366
"Desh",365
"Lesueur, 1818",365
"Meek and Worthen, 1866",365
"Baird and Girard, 1853",364
"Hall and Clarke",364
"Simpson, 1935",364
"Barbour and Loveridge, 1928",363
"(G. B. Sowerby I, 1832)",363
"Haldeman",362
"Resser & Howell",362
"(Clark), 1925",361
"(Gertsch, 1941)",361
"(Lesson, 1831)",361
"Parr, 1927",361
"Wheeler, W.M., 1903",360
"(Dawson)",359
"MacNeil in MacNeil & Dockery",359
"Buren, 1968",358
"Meek and Worthen",358
"(Conrad, 1846)",357
"(Adkins)",356
"Dunker",356
"(Dalman)",355
"Dekay, 1824",355
"(Doubleday, 1841)",354
"(Lacépède, 1802)",354
"Richardson, 1844-48",354
"Tryon",354
"Clapp, 1923",352
"(Cope, 1867)",352
"Dall, 1909",352
"Goode and Bean, 1896",351
"(Hübner, [1819])",351
"Handlirsch",351
"(Mackay, 2000)",351
"(Rafinesque, 1818)",351
"(Hewitson, 1868)",350
"LeConte 1851",350
"Scudder 1893",350
"Sprinkle",350
"(Girard, 1852)",349
"(Heer)",349
"Martyn",349
"Parin & Kobyliasnky",349
"Roding, 1798",349
"Brug",348
"Orb.",348
"(Pallas, 1766)",348
"Aldrich",347
"Bolli",347
"Loew 1861",347
"(Pallas, 1769)",347
"(Thomas, 1898)",347
"Morelet",346
"Cushman 1925",345
"Houttuyn, 1782",345
"(LeConte 1855)",345
"Linne 1758",345
"(Montagu, 1808)",345
"Sharp 1882",345
"Zeller",345
"(Raymond)",344
"Tappan 1940",344
"Israelsky",343
"Raf.",343
"Schuchert, 1913",343
"(Ege, 1930)",342
"Gabb 1864",342
"(Bonaparte, 1838)",341
"(Erxleben, 1777)",341
"(Hodgson, 1836)",341
"(Vieillot, 1823)",341
"Bronnimann",340
"Eliot & Kawazoé, 1983",339
"Gilmore",339
"(Gray, 1827)",339
"Kennedy & Cobban",339
"(Poey, [1852])",339
"(Baird and Girard, 1853)",338
"Gill, 1884",338
"Gould, 1846",338
"Becker",337
"Goode and Bean, 1883",337
"Mont.",337
"(Peters, 1862)",337
"Hyatt & Arms, 1891",336
"Musetti & Johson",336
"O'Shaughnessy, 1875",336
"(Winchell)",336
"Cresson",335
"Norman, 1930",335
"Cobban et al.",333
"(Oberholser, 1902)",333
"(Poey)",333
"Wheeler, W.M., 1905",333
"(Emery, 1894)",332
"(Herbst)",332
"(Knowlton)",332
"Peters 1877",331
"Petit",331
"Chickering, 1946",330
"Darlington 1962",330
"Pergande, 1896",330
"Bose",329
"Darlington 1961",329
"(Orbigny & Lafresnaye, 1837)",329
"Good & Bean, 1883",328
"Nelson",328
"(Semper, 1879)",328
"Green 1834",327
"Guppy",327
"(W. H. Edwards, 1871)",327
"Leach, 1819",326
"Ridgway, 1877",325
"(Say, 1831)",325
"(Reeve, 1850)",324
"Smith, F., 1858",324
"(Forsskål, 1775)",323
"Girty, 1908",323
"(Molina, 1782)",323
"Roewer",323
"Say and Ord, 1825",323
"Springer",323
"Dall, 1900",322
"(Hentz, 1847)",322
"(Kirby)",322
"Arango",321
"Kiener",321
"(Linnaues, 1758)",321
"Conrad, 1840",320
"Drap",320
"(Duméril & Bibron, 1839)",320
"Peters",320
"(Wood, 1868)",320
"Darlington",319
"(Edwards, 1862)",319
"Hall, 1856",319
"Stejneger, 1884",319
"Boucot & Johnson",318
"(Broderip & G. B. Sowerby I, 1829)",318
"Lynch, 1974",318
"(Whiteaves)",318
"(Wiegmann, 1833)",318
"(Dejean)",317
"KAY, G.",317
"LeConte 1863",317
"(Shumard, 1858)",315
"(Smith, 1797)",314
"(T. Harris, 1862)",314
"(Bonaparte, 1841)",313
"Eller",313
"(Gould, 1850)",313
"Leidy, 1856",313
"Mighels, 1845",313
"Moric.",313
"Wells",313
"(Cramer)",312
"Crosse",312
"Levi",312
"(Pfeiffer, 1839)",312
"Zinsmeister, 1984",312
"(Baird, 1858)",311
"(Bose)",311
"(Brady, 1882)",311
"Conrad, 1837",311
"Emmons",311
"(Esper, 1797)",311
"Gray, 1842",311
"Menke",311
"(Nieden, 1911)",311
"(Rafinesque, 1817)",310
"(Resser)",310
"Bangs, 1905",309
"(Lea, 1843)",309
"(Lyon & Casseday)",309
"(Branson)",308
"(Dickerson), 1915",308
"Gmelin 1791",308
"(Lesson, 1842)",308
"(W.S. Macleay, 1826)",308
"Darlington 1935",307
"Lochman in Lochman & Duncan",307
"Maynard, 1913",306
"Mke",306
"(Swainson, 1834)",306
"(Verrill & Bush, 1898)",306
"(Davidson, 1863)",305
"Desor",305
"(Harlan, 1827)",305
"Maul, 1948",305
"Walker",305
"Barbour, 1914",304
