"index.specificepithet","reps"
"albifrons",566
"gilberti",566
"riparia",566
"cuvieri",565
"emmonsi",565
"matheri",565
"osagensis",565
"singularis",565
"thomasi",565
"granulatus",564
"hecabe",564
"longicauda",564
"ruticilla",564
"spissa",564
"compressirostra",563
"floricola",563
"quadrisulcata",563
"fuliginosus",562
"incompleta",562
"cincinnatiensis",561
"noveboracensis",561
"obliqua",561
"aarduelis",560
"badius",560
"capillata",559
"cuprarium",559
"tinctum",559
"crenata",558
"daira",558
"strigosa",558
"imperialis",557
"jubar",557
"marginalis",557
"trinuclea",557
"uvasana",557
"aspersa",556
"elachyhistus",556
"scriptus",556
"burkei",555
"littorea",555
"marilara",555
"rhectogrammicus",555
"turneri",555
"zelus",555
"algoensis",554
"crenatus",554
"jacksoni",554
"lapponicus",554
"taylori",554
"beecheyi",553
"rupinarum",553
"garmani",552
"superbus",552
"gravida",551
"japonicus",551
"stuhlmanni",551
"bradyi",549
"williamsi",549
"arctata",548
"elpenor",548
"gracilenta",548
"furlongi",547
"longicephalus",547
"loomisi",547
"peronii",546
"schreibersii",546
"catesbeianus",545
"rafinesquii",545
"campestris",544
"luridipennis",544
"nodosa",544
"dunkardensis",543
"norvegicus",543
"circularis",542
"packardi",542
"phenax",542
"antarctica",541
"cafer",541
"keenae",541
"cedrorum",540
"macularius",540
"acutilirata",539
"aserva",539
"aculeus",538
"heros",538
"ioxus",537
"oxyrinchus",537
"articulatus",536
"gravis",536
"manatus",536
"nasutus",536
"risso",536
"universa",536
"angularis",535
"claviger",535
"lyoni",535
"polyglottus",535
"trivolvis",535
"floridensis",534
"henryi",534
"lineatum",534
"thyroidus",534
"triangulata",534
"vaderensis",534
"veterior",531
"lobatus",530
"formicivorus",529
"gatunensis",529
"onca",529
"bewickii",528
"carteri",528
"formosus",528
"huttoni",528
"ziczac",528
"gemellarii",527
"ingens",527
"modulus",527
"potteri",527
"precursor",527
"texturata",527
"irrorata",526
"osbornianus",526
"palmeri",526
"parvifrons",526
"resplendens",526
"rubidus",526
"argentatus",524
"canrena",524
"graysonana",524
"raymondi",524
"atricucullaris",523
"calendula",523
"primaevus",523
"sculptior",523
"trentonensis",522
"nassula",521
"cupido",519
"fasciola",519
"senaria",519
"glaucus",518
"groenlandicus",518
"hamiltoni",518
"nigroocellatus",518
"carica",517
"euglyphea",517
"fuliginosa",517
"ignotum",517
"molesta",517
"pseudoponceleti",517
"anomala",516
"europaeus",516
"agassizii",515
"bulimoides",515
"fasiculatus",515
"tigrina",515
"edensis",514
"problematica",514
"turgida",514
"gunteri",513
"punctulatus",513
"rotundata",513
"desertorum",512
"hilli",512
"invicta",512
"scabriculoides",512
"tigris",512
"costellata",511
"neoniger",511
"planicosta",510
"clausa",509
"edwardsi",509
"integra",509
"parvulus",509
"baeri",508
"costatum",508
"cymatilis",508
"heterostropha",508
"pecosi",508
"tesselatus",508
"transversus",508
"bairdii",507
"georgianus",506
"lindenensis",505
"nebulosa",505
"powellianus",505
"zebra",504
"asiatica",503
"aurocapilla",503
"berryi",503
"hemispherica",503
"vociferus",503
"forbesi",502
"insculpta",502
"vortmani",502
"perryvillensis",501
"scorteccii",501
"anna",499
"richmondensis",499
"salmoides",499
"taaningi",499
"achatinus",498
"exustus",498
"flexuosa",498
"truncatus",498
"leucophyllatus",497
"plumbea",497
"spectabilis",497
"apicalis",496
"argenteus",496
"barbadensis",496
"dolichocephalus",496
"rockymontana",496
"tulipa",496
"colinensis",495
"harrisi",495
"melanurus",495
"bidentata",494
"clara",494
"hookense",494
"arenosus",493
"limnocharis",493
"linguiformis",493
"elliotii",492
"exsul",492
"lirata",492
"bassleri",491
"florencae",491
"magarra",491
"notatus",491
"plebeia",491
"nitidulum",490
"perryi",489
"scotti",489
"tenera",489
"conanti",488
"gulosus",488
"penelope",488
"lemkei",487
"scalarina",487
"densata",486
"flammeus",486
"frontalis",486
"haitensis",486
"herculeanus",486
"scopelotemos",486
"torquata",486
"necatus",485
"sphaerulata",485
"victa",485
"wellesi",485
"cumberlandensis",484
"cyanocephalus",484
"neotericus",484
"serlii",484
"striatum",484
"toupiti",484
"pustulatus",483
"chloropus",482
"spedeni",482
"lincolnensis",481
"melo",481
"densiventris",480
"keyserlingi",480
"propinetis",480
"crocodilus",479
"modiolus",479
"vorax",479
"gryllus",478
"gaussi",477
"alternatus",476
"audax",476
"damesii",476
"decisum",476
"discors",476
"fugax",476
"polygonus",476
"oblonga",475
"ambiguus",474
"improcera",474
"jeffersoni",474
"megamorpha",474
"atrigularis",473
"anodonta",472
"bentonensis",472
"eximia",472
"pattoni",472
"rhomboidea",472
"pugilla",471
"cf. t. recedens",470
"crenidens",470
"inconstans",470
"kochii",470
"plumbeus",470
"signatus",470
"annulatum",469
"bakeri",469
"delosi",469
"dentatus",469
"granifera",469
"lygdamus",469
"savannarum",469
"valens",469
"hendleri",468
"planus",468
"aurita",467
"belli",467
"russelli",467
"superba",467
"perplana",466
"sigilla",466
"imparis",465
"linearis",465
"lunulata",465
"scutellatum",465
"glans",464
"miniatus",464
"squamosa",464
"tanneri",464
"locklini",463
"occiduus",463
"avara",462
"miliaris",462
"ruficapilla",462
"dentalis",461
"margarita",461
"quinqueloba",461
"recta",461
"brachycephalus",460
"lubrica",460
"atricapilla",459
"conradiana",459
"kingorum",459
"lincolnii",459
"brunnea",458
"chemungensis",457
"thiemei",457
"aurifrons",456
"cuneatus",456
"oxyrhynchus",456
"pelagica",456
"cinerascens",455
"impensa",455
"macrota",455
"manhattanensis",455
"wichitaensis",455
"arbucklensis",454
"ellipticus",454
"fulva",454
"funereus",454
"logani",454
"psaltria",454
"superciliosus",454
"acinus",453
"atriceps",453
"eoborealis",453
"auriculatus",452
"caroliniana",452
"dilepis",452
"monax",452
"platyceps",452
"arkansanus",451
"leucogaster",450
"muricatus",450
"obesus",450
"rubinus",450
"ampla",449
"hyalina",449
"balthica",448
"canus",448
"gossei",448
"occipitalis",448
"carbonarius",447
"concentricus",447
"crenatum",447
"insulatus",447
"melanoleuca",447
"platensis",447
"pseudopallida",447
"acuticuspidata",446
"gryphorhyncha",446
"keokuk",446
"perfecta",446
"riddellensis",446
"agassizi",445
"candida",445
"dutertrei",445
"reinhardtii",445
"hypoleuca",444
"moondarra",444
"pelta",444
"barrandii",443
"minusculus",443
"rubicunda",443
"falcatus",442
"reclusiana",442
"sp b",442
"tricarinata",442
"bridgerensis",441
"neckeri",441
"recurvirostris",441
"walshi",441
"alexanderi",440
"assimilis",440
"microbrachius",440
"peculiaris",440
"pomona",440
"senectus",440
"spiralis",440
"stokesi",440
"suturalis",440
"cockerelli",439
"lewisi",439
"longispina",439
"maxima",439
"pholadiformis",439
"protenus",439
"castaneus",438
"denticulata",438
"interpolatus",438
"parnellii",438
"caudatus",437
"harrisii",437
"sapotilla",437
"alpina",436
"daemeli",436
"dorsatus",436
"horridum",436
"multistriatus",436
"proteus",436
"carpenteri",435
