"genus","reps"
"Leptaenisca",755
"Polioptila",755
"DIPLODONTA",754
"Neithea",754
"Verneuilinoides",754
"Gyroidina",753
"Asterophyllites",752
"Barbourofelis",752
"Coprinoscolex",752
"Juglans",752
"Certhia",751
"Discorbis",751
"Lemmiscus",750
"Gekko",748
"Sciuravus",748
"Hypselentoma",746
"Eridotrypa",745
"Lacerta",745
"Pseudomonotis",745
"Pseudemys/Trachemys",744
"Pheucticus",743
"Pseudorthoceras",741
"CYMATOSYRINX",739
"Ficedula",739
"Platecarpus",739
"Acanthurus",737
"Notorynchus",737
"Nuncia",737
"Dicrurus",736
"Eutrochatella",736
"Leptopelis",736
"Hesperilla",735
"Paladin",735
"Parula",734
"Berryophyllum",733
"Reithrodontomys",732
"Pollichthys",731
"Schizoblastus",731
"Balaenoptera",730
"KALOLOPHUS",730
"Meniscotherium",730
"Metaxytherium",730
"Truncatella",730
"ARCINELLA",729
"Crinoid Indet.",729
"Leptolepis",729
"Eporeodon",728
"Didymograptus",727
"Cymatospira",726
"Egretta",726
"Rutiodon",726
"Cranaena",725
"Orthotetes",725
"Hirundo",724
"Plagiodontia",724
"Coccyzus",723
"Sigillaria",723
"Frondicularia",722
"SPONDYLUS",721
"Basileuterus",720
"Campylorhynchus",720
"Plectorthis",720
"Globotruncana",719
"Heteraster",717
"Mitrella",717
"TRIGONOSTOMA",717
"Parvohallopora",716
"Pseudoptera",715
"Trigonia",715
"Zapus",715
"Natrix",713
"Cladophlebis",711
"ECHINOLAMPAS",711
"Jalmenus",710
"Lampterocrinus",710
"Caryocorbula",708
"Dipoides",708
"Atlapetes",706
"MODULUS",705
"Halysites",704
"Ariosoma",703
"Ploceus",702
"Tipula",702
"Rhabdoderma",701
"BULLA",698
"FALCONOPLAX",698
"Zosterops",698
"Artibeus",697
"Coelometopon",697
"Ctenotus",697
"Dawsonoceras",697
"Eustomias",696
"Heliospongia",696
"Macrotus",696
"Eldonia",695
"Liometopum",694
"Bothrophyllum",693
"Cantharus",693
"Mytilarca",692
"Collignoniceras",690
"Lepidostrobophyllum",690
"Pachycondyla",690
"Cyrtodactylus",689
"Globoblastus",689
"Lynx",689
"PLEIOPTYGMA",689
"Anguispira",688
"Callista",688
"Trichechus",688
"Erethizon",687
"Maclurites",687
"Pieris",687
"Scopelarchus",686
"Ardeola",685
"Cryptoblepharus",685
"Ovatia",685
"Cubitostrea",684
"Anoplotheca",682
"Permophorus",682
"Selasphorus",682
"Zenaida",682
"Thaerodonta",681
"Meekospira",680
"Ginkgo",679
"Parides",679
"Spiroloculina",677
"Gogia",676
"Rhombopora",674
"Alopia",673
"Amnicola",673
"Charaxes",672
"Didontogaster",672
"Indet. Gastropod",672
"MARGINELLA",671
"Diploblastus",670
"Pleurobema",670
"Amplexopora",669
"Scolopendra",666
"Mahonia",665
"Rogeria",665
"Cythereis",664
"Pachyarmatherium",664
"Ianthinopsis",663
"PLICULOFUSUS",663
"Sphyrna",663
"Eremias",662
"Octostruma",662
"Pharkidonotus",662
"Hesperocyon",661
"Phanerotrema",661
"Pyramidula",661
"Streptalasma",661
"CAECUM",660
"Cypricardella",660
"Stenopilus",660
"Amblema",659
"Dolichoderus",659
"Limnodynastes",659
"Tropidurus",659
"Asio",658
"Buliminella",658
"Euphagus",657
"Lebachia",657
"Oceanodroma",657
"Pipra",656
"Actinopteria",655
"Alca",655
"Polypora",655
"Aulopora",654
"Chamaecyparis",654
"Corbulamella",653
"Neofiber",653
"Pisocrinus",653
"Villosa",653
"Polygnathus",652
"Syringopora",652
"Bonasa",651
"Dicellograptus",651
"Turricula",651
"LEPIDOCYCLINA",650
"Streptorhynchus",650
"BALANUS",649
"Leptothorax",647
"Platyostoma",647
"EUCRASSATELLA",646
"Malaclemys",646
"Endoceras",645
"Orthocycloceras",645
"Tivela",645
"Clypeaster",644
"LOBATUS",644
"VOKESINOTUS",643
"Eospirifer",642
"Metanoiamys",642
"Plastomenus",642
"Pleurodictyum",642
"Protolabis",642
"Virgulina",642
"Gulella",640
"Bubo",639
"Magnolia",639
"Leda",638
"Limicolaria",638
"Scopelogadus",637
"Verneuilina",637
"Anomalocaris",636
"Cylichna",636
"Kansasiella",636
"Lophortyx",636
"Purpura",636
"Vaginulina",636
"Enterolasma",634
"Crassostrea",633
"Reptilia",632
"Scolecopteris",632
"Xiphorhynchus",632
"Ptychadena",631
"Perisoreus",630
"Knightia",629
"Lophospira",629
"Campophyllum",628
"Devonochonetes",628
"Eutamias",627
"Lampadena",627
"PITAR",627
"Brachyphylla",624
"Coluber",624
"Diplograptus",622
"Discodeles",622
"Hapsiphyllum",622
"Pseudoliva",622
"ARCHITECTONICA",621
"Clausilia",621
"Redfieldia",621
"\Angiosperm Leaf\",620
"Caranx",620
"Cryptomya",620
"Kallirhynchia",620
"TURBONILLA",620
"CRASSOSTREA",619
"Oleacina",619
"Phengaris",619
"TRIGONIOCARDIA",618
"Fulica",617
"Rensselaeria",616
"Crassatellites",615
"Pinicola",615
"Floridameryx",614
"Gastrioceras",614
