"index.genus","reps"
"cymatosyrinx",834
"amastra",833
"leptodus",833
"palaeosyops",832
"pugnax",832
"ramphocelus",832
"etheostoma",830
"orthotetes",830
"cassidulina",828
"plebejus",826
"martinia",825
"colpodes",824
"hughmilleria",824
"parablastomeryx",824
"lamprolepis",823
"lampropeltis",822
"lasmigona",822
"pelecyora",822
"cistothorus",821
"stramonita",821
"amphicyon",820
"echinoconchus",820
"pseudomyrmex",819
"calamostachys",818
"lygisaurus",818
"monograptus",818
"thraupis",818
"ankyropteris",817
"holothuria",817
"proetus",817
"cadulus",816
"ensis",816
"ecphora",815
"pteranodon",814
"hogna",813
"sayornis",813
"erithacus",812
"haplophragmoides",811
"paracyclas",811
"turritelloidea",811
"bothrops",810
"serrivomer",809
"athene",808
"appias",807
"goniatites",807
"picoides",806
"elaenia",805
"voluta",805
"helicomella",804
"megascops",804
"epicyon",803
"pliotoxaster",802
"stromatolites",802
"eumetria",800
"grewingkia",800
"globigerinella",799
"schizoblastus",799
"solenosteira",799
"edmondia",798
"gymnothorax",798
"coragyps",797
"ardea",796
"botryopteris",796
"neithea",796
"chelonia",795
"pisocrinus",795
"pleuromeris",795
"anemorhysis",794
"prionotus",794
"mytiloides",793
"saltator",793
"drillia",792
"leptaenisca",791
"miohippus",791
"pholadomya",788
"bothrophyllum",787
"typhis",787
"bubo",785
"coereba",784
"bregmaceros",783
"heliscomys",782
"pandora",782
"buxtonia",780
"hypsiboas",780
"stewartia",780
"didymograptus",779
"eutrochatella",779
"strigilla",777
"clubiona",776
"cryptolithus",776
"spinus",775
"anoplotheca",774
"permophorus",774
"pheucticus",773
"metaxytherium",772
"thryothorus",772
"trigonia",772
"bombycilla",771
"eridotrypa",770
"monongahela",768
"pseudomonotis",768
"isognomon",767
"trigoniocardia",766
"timulla",765
"verneuilinoides",765
"noetia",764
"polygnathus",764
"constellaria",763
"haplochromis",763
"phanerotrema",763
"pseudorthoceras",763
"speyeria",763
"stigmaria",763
"haemorhous",762
"pleurobema",762
"alasmidonta",761
"tuscahomys",761
"cercidiphyllum",758
"juglans",755
"polioptila",755
"coprinoscolex",752
"egretta",752
"certhia",751
"tivela",751
"barbourofelis",750
"cranaena",750
"cubitostrea",750
"lemmiscus",750
"appasus",749
"asterophyllites",749
"isorthis",749
"truncatella",749
"gekko",748
"frondicularia",746
"hypselentoma",746
"sporophila",746
"dallocardia",744
"discorbis",744
"hallopora",744
"pharkidonotus",743
"reophax",743
"eporeodon",742
"nuncia",741
"platecarpus",741
"uca",741
"notorynchus",739
"cnemidophorus",738
"garrulax",737
"dicrurus",736
"leptopelis",736
"paladin",736
"sphenodiscus",736
"acanthurus",735
"hesperilla",735
"berryophyllum",733
"cymatium",733
"reithrodontomys",733
"cassis",732
"cylichna",732
"plectorthis",732
"pollichthys",731
"polyommatus",731
"balaenoptera",730
"meniscotherium",730
"ctenotus",729
"eremotherium",727
"kalolophus",727
"rutiodon",726
"arcopsis",724
"bittium",724
"cerithidea",724
"coccyzus",724
"crenella",724
"hirundo",724
"plagiodontia",724
"fusconaia",723
"sigillaria",723
"pomacea",722
"parvohallopora",721
"buliminella",720
"bulimus",720
"campylorhynchus",720
"melanella",720
"mimomys",719
"sciuravus",718
"stromatopora",718
"pyramidella",717
"lampterocrinus",716
"pseudoptera",716
"meekospira",715
"zapus",715
"cladophlebis",714
"calotrophon",713
"globoblastus",713
"arctodus",711
"cryptoblepharus",711
"rissoina",711
"adelpha",710
"anguispira",710
"ianthinopsis",710
"jalmenus",710
"ariosoma",709
"clausilia",709
"dipoides",708
"globotruncana",708
"lynx",708
"dawsonoceras",707
"ocypode",707
"emys",706
"pirata",706
"ambonychia",705
"antalis",705
"syringopora",705
"kerunia",704
"maclurites",704
"tipula",704
"zosterops",703
"cantharus",702
"ploceus",702
"rhinoclavis",702
"rhabdoderma",701
"euomphalus",700
"heliospongia",700
"atrina",699
"pleioptygma",699
"falconoplax",698
"macrotus",698
"mantidactylus",698
"coelometopon",697
"protohippus",696
"eldonia",695
"liometopum",695
"rhombopora",691
"scolopendra",691
"crassinella",690
"plectambonites",690
"spiroloculina",690
"trichechus",690
"erethizon",689
"pleurodictyum",688
"gogia",687
"pieris",687
"plaesiomys",687
"scopelarchus",686
"amblema",685
"ardeola",685
"ovatia",685
"lepidostrobophyllum",684
"eustomias",683
"selasphorus",682
"montastraea",680
"ginkgo",679
"parides",679
"oceanodroma",677
"amnicola",676
"alopia",675
"aulopora",675
"acteon",673
"echinoderma",673
"charaxes",672
"didontogaster",672
"eospirifer",672
"indet. gastropod",672
"citellus",671
"pterinea",671
"solemya",671
"sphyrna",671
"streptorhynchus",670
"artibeus",668
"haitia",668
"turricula",667
"amplexopora",666
"rogeria",665
"scaphander",665
"schizaster",665
"hesperocyon",664
"pachyarmatherium",664
"plicochonetes",663
"favartia",662
"actinopteria",661
"dolichoderus",661
"polypora",661
"stenopilus",661
"diploblastus",660
"dirafinesquina",660
"ceratites",659
"chamaecyparis",659
"favia",659
"mahonia",659
"asio",657
"euphagus",657
"lebachia",657
"leiothlypis",657
"corbulamella",656
"dicellograptus",656
"eucalyptocrinus",656
"alca",655
"anomalocaris",654
"neofiber",653
"endoceras",652
"bonasa",651
"callianassa",651
"crania",651
"dalmanitina",650
"echinolittorina",649
"fusus",648
"malaclemys",648
"caranx",647
"limicolaria",647
"pleurodonte",647
"aulosteges",646
"cupido",646
"gyroidina",646
"pteronotus",646
"scolecopteris",646
"vaginulina",646
"pupa",645
"cardiocarpus",644
"cypricardella",643
"magnolia",643
"peronopsis",643
"plastomenus",643
"metanoiamys",642
"orthocycloceras",642
"protolabis",642
"pyramidula",642
"diplograptus",641
"aimophila",640
"crinia",640
"dinocardium",640
"subcuspidella",640
"doleroides",639
"gulella",639
"limnodynastes",639
"enterolasma",638
"scopelogadus",638
"devonochonetes",636
"kansasiella",636
"rangia",636
"verneuilina",636
"vokesinotus",636
"liophis",635
"solariella",635
"ophiura",634
"cepolis",633
"xiphorhynchus",633
"amusium",632
"cidaris",632
"hyotissa",632
"reptilia",632
"thaerodonta",632
"basileuterus",631
"ficedula",631
"pipra",631
"perisoreus",630
"knightia",629
"lampadena",628
"esthonyx",627
"hapsiphyllum",627
"modiomorpha",627
"prasopora",627
"ptychadena",627
"pseudoliva",625
"brachyphylla",624
"plicatoria",623
"siderastrea",623
"crinoid indet.",622
"oleacina",622
"tetragnatha",622
"cryptomya",621
"persephona",621
"\angiosperm leaf\",620
"caprimulgus",620
"gastrioceras",620
"kallirhynchia",620
"cythereis",619
"cerastoderma",617
"leukoma",617
"lophospira",617
"divalinga",615
"actitis",614
"ceratina",614
"floridameryx",614
"pinicola",614
"polyergus",614
"eatonia",613
"augochlorella",612
"centruroides",612
"scolopax",612
"gibbula",611
"streptopelia",611
"tiaris",611
"cyclostoma",610
"monticulipora",610
"cyclopteris",609
"platycrinites",609
"junonia",608
"kionoceras",608
"parnassius",608
"viburnum",608
"ectenocrinus",607
"octostruma",607
"agapostemon",606
"copecion",606
"cordioxylon",606
"cypriniadea",605
"lasiurus",605
"neocnus",605
"odontopteris",603
"podomys",603
"bonapartia",602
"alcadia",601
"manicina",601
"fusulinella",600
"nothrotheriops",600
"rensselaerina",600
"hyracodon",599
"oxytoma",599
"fulica",598
"hyalina",598
"photostomias",598
"drupa",597
"mellita",597
"grus",596
"pooecetes",596
"storeria",596
"chordeiles",595
"micrathena",594
"numenius",594
"phos",594
"ptychoparia",594
"pyruella",594
"arremon",593
"petrochelidon",593
"plectrophenax",593
"hesperisternia",591
"onniella",591
"thracia",591
"boiga",590
"howellella",590
"pulchratia",590
"mariopteris",589
"rallina",589
"bairdia",588
"vertigo",588
"cerithiopsis",587
"lucinda",587
"varanus",587
"viverravus",587
"callospermarion",586
"eodictyonella",586
"albinaria",585
"lambdotherium",585
"myioborus",585
"batrachoseps",584
"cacicus",583
"formicidae",583
"girtyella",582
"heptodon",582
"mesalia",582
"araucaria",581
"otospermophilus",581
"siphonocrinus",581
"vermicularia",581
"agassizocrinus",580
"lestidiops",580
"mniotilta",580
"monetaria",580
"musculus",580
"circus",579
"ctenophoraster",579
"domnina",579
"grammysia",579
"orbulina",579
"pachydactylus",579
"strophalosia",579
"esconites",578
"symbolophorus",578
"colostethus",577
"valvata",577
"amara",576
"crassispira",575
"desmodus",575
"gypsonictops",575
"coluber",574
"cyanocorax",574
"panthera",574
"hipponix",573
"discocyclina",572
"megalagus",572
"cornulites",570
"drassyllus",570
"mormolucoides",570
"operculinoides",570
"batocrinus",569
"chonetella",568
"lemmus",568
"patinopecten",568
"urbanus",568
"cymatospira",567
"gouldia",566
