"identifiedBy","reps"
"Valentine",171
"Annie E. Curtis",170
"June R. Ross",170
"Legacy - Cifelli",170
"M.E. Galiano",170
"August F. Foerste",169
"Charles E. Dawson",169
"M. Gimmel",169
"William L. Fink",169
"Poore",168
"John E. Lattke",167
"Karsten E. Hartel, Guido Dingerkus",167
"Buzas; Smith; Beem",166
"Dunbar; Henbest",166
"H.D. Baggett",166
"Olson; Hilgartner",166
"Philipp Wagner",166
"Spencer; Campbell",166
"Thomas M. Bown, David M. Schankler",166
"Jackson",165
"Dunkle, David H.",164
"Krister T. Smith",164
"Cushman; Ozawa",163
"Henry W. Bates",163
"Beyrich/1845",162
"Melsheimer",162
"MTyler",162
"Jonathan A. Coddington",161
"L.D. Miller",161
"Platnick and Berniker",161
"Scarpetta, Simon",161
"Steadman, David W.; Ray",161
"Hazel",160
"James Perrin Smith",160
"John H. Sandground",160
"Paul Metz",160
"Shumard",160
"Cobban; Scott",159
"Fred Grady",159
"R. Bell",159
"Richard A. McLean",159
"William A. Shear",159
"Charlene Chen",158
"James T. Sprinkle",158
"Nettelroth",158
"Philip S. Lobel",158
"William J. Richards",158
"Bock",157
"Hayward",157
"Janis A. Roze",157
"Christiansen",156
"George R. Zug",156
"H.B.W. ident.",156
"J. R. Baird",156
"Albert Schwartz, Jr., Orlando H. Garrido",155
"Alvin Seale",155
"António M. de Frias Martins",155
"Durham, Stephen",155
"Richard S. Kelly",155
"Twitchell",155
"William Louis Brown, Jr.",155
"Cole; Bridge",154
"D. G. Manley",154
"Edward Harrison Taylor",154
"Hugo R. Greiner",154
"Michele Rossini",154
"Harold",153
"Adela Roa-Veron, Karsten E. Hartel",152
"Fleisher",152
"Kennedy; Cobban; Hancock; Hook",152
"Thomas A. Munroe",152
"Benjamin Shreve, Ernest E. Williams",151
"Donald J. Stewart",151
"Evitt; Tripp, Ronald P.",151
"Louis Saemann",151
"Sofia Prado-Irwin",151
"Woods Hole Oceanographic Institution, National Museum of Natural History, Smithsonian Institution",151
"Bermudez; Bolli",150
"Fedorowski",150
"(Hawle et Corda",150
"Justin A. Spielmann, Spencer G. Lucas",150
"Lochman, Christina; Duncan",150
"Mann",150
"Roger Vila",150
"Vaughan; Cole",150
"William B. Muchmore",150
"Williams",150
"Beyrich",149
"Gidley, J. W.",149
"John R. Paxton",149
"(Meek+Worthen)",149
"Cushman; Jarvis",148
"Said",148
"William S. Creighton",148
"Barr",147
"Carl H. Lindroth",147
"G.W. and E.G. Peckham",147
"James A. Blake",147
"Karsten E. Hartel, William N. Eschmeyer",147
"Legacy - Hickey, Leo J., (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",147
"Richard S. Lull",147
"Cobban; Kennedy; Scott",146
"Isaacson",146
"Jonathan Schmitt",146
"Luis Howell-Rivero",146
"Tauana Cunha",146
"WRHeyer",146
"Blackmon, Paul D.; Todd",145
"Fred C. Rohde",145
"Karsten E. Hartel, Michael Cyterski",145
"REUSS",145
"R. M. Wienerroither",145
"Carter R. Gilbert",144
"Edgar R. Cumings",144
"Marincovich, Louie, Jr., (CAS), California Academy of Sciences (UNITED STATES)",144
"Nye",144
"Peck",144
"W. Rucker",144
"Heinrich Boie",143
"John E. Olney",143
"KAITLYN C. HOF-MAHONEY",143
"Martin J. Ramírez",143
"Mello",143
"Wetmore",143
"Alfred W. Ebeling",142
"Judith Nagel-Myers",142
"Parker; Phleger; Peirson",142
"Warshauer; Berdan, Jean M.",142
"Brenckle; Marshall; Waller; Wilhelm",141
"CUSHMAN",141
"(Davis), Stumm",141
"Earl Manning",141
"John J. Wiens, Tod Reeder, Adrián Nieto Montes de Oca",141
"Malloch",141
"Said; Barakat, M. G.",141
"Stephanie W. Aktipis",141
"Taylor",141
"Carla Susanne Tomsich",140
"G.B. Edwards",140
"Moritz Fischer",140
"Nicole Bedford",140
"Sternberg",140
"Allen; Lester",139
"Ausich; Kammer; Meyer",139
"Clark; Ethington",139
"Cresson",139
"Harriet Richardson",139
"Kipling W. Will",139
"Weems, R.",139
"Bronnimann, Paul, Universite de Geneve (SWITZERLAND)",138
"David W. Larson",138
"Elias",138
"Fuller, L",138
"Laura Innis",138
"Marianne Espeland",138
"Leonard B. Radinsky",137
"Monica Marti Mus",137
"Adam Smith",136
"Arno Antonio Lise",136
