"identifiedBy","reps"
"Kenneth D. Rose, Thomas M. Bown",3
"Kenneth J. Sulak, Judy D. Weinstein",3
"Ke-qin Gao, Richard C. Fox",3
"Kiel, Steffen",3
"Kirby",3
"Kirkland, James I., Utah Geological Survey (UNITED STATES)",3
"Kite; Kammer",3
"Kjell Arne Johanson",3
"(KNIGHT)",3
"Kobayachi, Pojeta+Runnegar",3
"Kochi Univeristy",3
"Kohls, D, David",3
"Kohno, Naoki, National Museum of Nature and Science (Tsukuba Research Center) (JAPAN)",3
"Kolata",3
"Kollman; Yochelson",3
"Kraus, Bernhard Kummel",3
"Krishtalka; Emry, Robert J.; Storer, Robert W.; Sutton",3
"Kurt W. Ockelmann",3
"K. Yamaoka",3
"Ladd, Harry Stephen, (USGS), U.S. Geological Survey (UNITED STATES)",3
"Lamarck, Jackson",3
"Lamark",3
"Lance Grande",3
"(Lane and Thomas)",3
"Lane; Macurda",3
"Larry Z. White",3
"Lasswitz; Reeside",3
"Laura E. Wilson, Karen Chin, Stephen L. Cumbaa",3
"Laura Geison",3
"Laurent-Guillaume de Koninck, Newell+Boyd",3
"Laurie J. Bryant",3
"Lawrence E. Rose",3
"Layard",3
"L. B. Holthuis",3
"L. C. Holcomb",3
"(Lea)",3
"Ledger, DKM",3
"Ledger, Karsten E. Hartel",3
"Legacy - Carpenter, Kenneth, (DMNS), Denver Museum of Nature & Science (UNITED STATES)",3
"Lehman",3
"L. Harris",3
"(Linnaeus), Billings+Cleaves",3
"L. Layard",3
"Lloyd W. Stephenson",3
"L. L. Pechuman",3
"LMueller",3
"Lockwood, Rowan",3
"Loren F. Byars",3
"Louis Agassiz, Kier",3
"Louis Roth, K. Princis",3
"Louis S. Leakey",3
"Lousianna Land & Exploration Co.",3
"Lubomir Kovac",3
"Ludwig Döderlein",3
"Luhman",3
"Luis F.M. Iniesta",3
"Luis R. Rivas, Karsten E. Hartel",3
"L. W. Saylor",3
"MacNeil; Stephenson, Lloyd W.",3
"Madge",3
"Makoto Okamoto",3
"Malena Lorente",3
"Mantell",3
"Marc A. Raila",3
"Marcos Rodriguez",3
"Marcot, JD",3
"Maria Ana Tavor",3
"Maria McNamara",3
"Marland Pratt Billings, Landing",3
"Martin",3
"Mary R. Dawson",3
"Mary R. Dawson, K. C. Beard",3
"Maston",3
"MAT",3
"(Matthew), Conway Morris and Peel",3
"Matthew ident.",3
"Maureen O'Leary, Kenneth D. Rose",3
"Max Poll, Tyson R. Roberts",3
"Max Schlosser",3
"Maxwell Smith",3
"McArdle",3
"McDonnell, J.",3
"McEwan, Raymond",3
"McFarlan",3
"Mc Lean, Aug 1963",3
"MCW",3
"Meaghan H. Sorce",3
"Meek, Whittington",3
"Meek+Worthen, Meek+Worthen",3
"Meek+Worthen, Wachsmuth+Springer",3
"(Meek+Worthen), Winthrop Sprague Brooks",3
"Merida; Boardman",3
"Messrs. Curtis",3
"Michael D. Buckley, Karsten E. Hartel",3
"Michael K. Frazier",3
"Michael Pauers",3
"Miguel Alvarez del Toro",3
"Miguel Angel Lopez Robles",3
"Miller, G. S.; Boyle",3
"(Miller+Gurley), Jackson",3
"Miller+Gurley, Raymond+Barton",3
"(Miller), Oliver",3
"(Miller), Osgood",3
"Miller, WE, Wade",3
"Minot",3
"Minton, Smith",3
"Mitchell",3
"M. Lapointe",3
"M. Lipinski",3
"Moore, Rachel",3
"Morris F. Skinner, Ove C. Kaisen",3
"M. P. Fahey, Jorgen G. Nielsen",3
"M.P. Fahey, Ken W. Able",3
"Muller",3
"Muller; Muller",3
"Munroe",3
"(Munster",3
"Museum of Zoology, University of Sao Paulo",3
"Museu Nacional, Universidade Federal do Rio de Janeiro",3
"Naercio A. Menezes, Patten",3
"Naercio A. Menezes, Rex Passion",3
"Nancy Treneman",3
"Naomi E. Pierce",3
"Nathan Lord",3
"Natural History Museum of Los Angeles County",3
"Nesbitt, E.A.",3
"N.Haddad",3
"Nicholas R. Longrich, Jakob Vinther, R. A. Pyron, Davide Pisani, Jacques A. Gauthier",3
"Nicholas R. Longrich, Tim T. Tokaryk, Daniel J. Field",3
"Nichole O. Feemster",3
"Nobuo Shigehara, Masanaru Takai, Richard F. Kay, Aye K. Aung, Aung N. Soe, Soe T. Tun, Takehisa Tsubamato, Tin Thein",3
"Noffke, Nora",3
"Norman",3
"Norman E. Woodley",3
"Norman Marston",3
"Norman T. Tessman",3
"Novacek, Michael J., (AMNH (V)), American Museum of Natural History (UNITED STATES)",3
"Novak",3
"Oder",3
"Ohern; Maynard",3
"Olmstead; Adkins",3
"Orestes H. St. John",3
"Osborn; Wortman, Jacob L.",3
"osmark, J.",3
"Othenio Abel",3
"Owen Lonsdale",3
"Owen+Shumard, Meek+Worthen",3
"Pander, Schuchert+Cooper",3
"Pat Hutchings",3
"Patricia A. Holroyd",3
"Patricia A. Hurley",3
"Patrick Gorring",3
"Paul E. Skelley",3
"Paul Kester",3
"Paul Matheus, John Storer, A. J. Drummond, Andrei Sher, Michael Kunz, Duane G. Froese, C. R. Harington, James Burns, Alan Cooper, Beth Shapiro",3
"Paul Wagner",3
"Paynter",3
"P.D. Hillyard",3
"Pearce",3
"P. E. P. Deraniyagala",3
"Perry; Harris; Harris",3
"Perry; Rodriguez",3
"Peter H. J. Castle",3
"Peter H. Kerr",3
"Peter M. Galton, Hans-Dieter Sues",3
"Petrunkevitch",3
"PGS",3
"P. Herbert Carpenter",3
"Philip D. Gingerich, Conduff G. Childress",3
"Phillips, G.",3
"Phillips; Ross",3
"Phillip V. Tobias",3
"Pierre Jean Edouard Desor, Jackson",3
"Pinto",3
"P. Mitov",3
"Pohlman",3
"Pojeta, John; Palmer",3
"Pojeta, John; Runnegar, Bruce N.; Kriz",3
"(Poli)",3
"Poole",3
"Powell",3
"Prof. Chester A. Arnold",3
"Prof. Lance Grande",3
"Proto Decima; Bolli",3
"P.R. San Martin, 1967; L. Prendini, 1998",3
"P. T. Lehtinen",3
"Puri, H. S.",3
"Pyenson, Nicholas",3
"(Quenstedt), Cooper",3
"Quetzalli Hernández",3
"RAEstupinan-T.",3
"Rafael Lemaitre",3
"Rainforest Farms International",3
"R. A. Thomas",3
"Rauff",3
"(Raymond), DeMott",3
"Raymond J. Pupedis",3
"(Raymond), Okulitch",3
"(Raymond), Whittington",3
"Ray S. Birdsong",3
"R.B. Roberts",3
"Reeside, John Bernard, Jr., U.S. Geological Survey",3
"Reeside; Wasson; Sinclair",3
"Reid",3
"(Reinecke), G. A. Moore",3
"Repetski, John E.; Brown",3
"(REUSS)",3
"Reverend John E. Semper",3
"Rev. Philip P. Carpenter",3
"R.F. Lawrence",3
"Rich Aguirre",3
"Richard C. Fox",3
"Richard Dehm",3
"Richard F. Kay, Matt Cartmill",3
"Richard G. Zweifel, James I. Menzies, David Price",3
"Richard H. Goodyear, Robert H. Gibbs",3
"Richard L. Cifelli, Miguel F. Soria",3
"Rigby; Jamison",3
"Ripley",3
"Ritsema",3
"RJB",3
"R. J. Ortlepp",3
"R.L. Squires, 1989",3
"Robert E. Jenkins, Karsten E. Hartel",3
"Robert E. Roughley",3
"Robert F. Geale",3
"Robert J. Hoffstetter",3
"Robert K. Denton, Robert C. O'Neill",3
"Robert L. Edwards",3
"Robert L. Wisner, Charminon B. McMillan",3
"Robert M. West, Edward G. Atkins",3
"Robert W. Hook",3
"Robert W. Purdy",3
"Robin J. Tillyard",3
"Roderic Macdonald",3
"Rodrigo Gonzalez",3
"Roeber",3
"ROEMER",3
"Roger",3
"Rogers; Pitrat",3
"Rogl, Fred; Hansen",3
"Ronald E. Heinrich",3
"Ronald M. Nowak",3
"Ross; Dutro",3
"R. P. Bigelow",3
"R. Peigler",3
"Rubio",3
"Rudo von Cosel",3
"Ruedemann, Rudolf; Sellards; Adkins; Plummer",3
"RV Albatross II",3
"Ryan Manzuk : The Field Museum of Natural History",3
"R.Z.P. Guimaraes",3
"Sally L. Richardson, Douglas F. Markle",3
"(Salter), Harris",3
"Sam Coffman",3
"Samuel H. Scudder",3
"Samuel P. Welles",3
"Sara Brant",3
"Sarah Crews",3
"S. Blair Hedges, Richard Thomas",3
"Schaeffer, Bobb; Patterson",3
"Schleg.",3
"Schmidt, Smith",3
"Schueider",3
"(Schultze), Jan Bohatý",3
"Schwab",3
"S. D. Webb",3
"Sean Po",3
"Selander",3
"Sergio F. Vizcaino, Maria S. Bargo",3
"(Shaler+Foerste)",3
"Sharon Stichter",3
"Shawn T. Dash",3
"Shelton P. Applegate",3
"Shimer+Blodgett",3
"Shumard, Meek+Worthen",3
"Sidor, Christian A., University of Washington (UNITED STATES)",3
"Simon Darroch",3
"Sir  William  Cornelius Van Horne Collection",3
"Skog, Judith E., George Mason University (UNITED STATES)",3
"S. Larsen",3
"S.L. Hirst",3
"(Slocum), Shaw",3
"Sorignet",3
"Sorrie",3
"Southern Illinois University",3
"(Sowerby), Fay",3
"Sowerby, Jackson",3
"(Spath), Ciriacks",3
"Spears, Ann",3
"Speyer",3
"Sprinkle, James",3
"Stanislaw Adam Slipinski",3
"Stanley J. Olsen",3
"Stenzel",3
"Stephenson?",3
"Steve Lowell",3
"St.John",3
"Stock; Burry-Stock",3
"Stocker, Michelle R., Research Scientist (VPI), Virginia Polytechnic Institute and State University (UNITED STATES)",3
"Stork",3
"Stuart A. Levinson",3
"Sturgeon, K.",3
"Sue W. Fingerman, Royal D. Suttkus",3
"Suter; Smith",3
"Su-yin Ding, Yong-sheng Tong",3
"SW",3
"S. W.  Wilson",3
"Tarleton H. Bean",3
"Tavener-Smith, B.",3
"Tchudinova",3
"TED E. WHITE",3
"Tenery; Rowett",3
"Terence P. Fletcher, George Theokritoff",3
"T.E. Savage ident.",3
"Texas A&M class",3
"Th. Deuv",3
"Thomas Barbour, Carr",3
"Thomas Barbour, Winthrop Sprague Brooks, Cecil Frank Underwood",3
"Thomas G. Sloane",3
"Thomas J. Andrews, Karsten E. Hartel",3
"Thomas J. Zaret",3
"Thomas M. Bown, Allen J. Kihm",3
"Thomas Sniezak",3
"Thomas Tracy Bouvé, William B. Clark, Mayville W. Twitchell",3
"Thorpe",3
"Toma",3
"Tom DeVries",3
"Tom W. Davies",3
"Tone Novak",3
"Tornquist",3
"T. R. Peale",3
"Tschindi",3
"T.W. Davies",3
"T. Wesener, 2008",3
"T. W. Vaughan ?",3
"U. Holmgren",3
"(ULRICH | BASSLER)",3
"University of Alaska",3
"University of Rhode Island, Christopher P. Kenaley",3
"U.S. Bureau of Fisheries",3
"US Coast Survey-Gulf Stream Exploration",3
"VanDenburgh, Slevin",3
"van der Wulp",3
"Van Diver",3
"Vaurie",3
"(Verneuil), Schuchert+Cooper",3
"Vic Nordahl",3
"Victor G. Springer, et al.",3
"Victor Ivanovich Motschulsky",3
"Virginia Korhonen",3
"Vokes; Houart",3
"Waagen",3
"Wagner",3
"Walcott, Butterfield",3
"Walcott ident.",3
"Walcott, James C. Brower",3
"Walcott, Shaw",3
"Walcott, Terence P. Fletcher, George Theokritoff, G. Stintson Lord, Gerald Zeoli",3
"Walcott? Whittington",3
"Walker, Jacobs",3
"Walter Auffenberg, Jr.",3
"(Walter), Bernhard Kummel",3
"Warder, Raymond",3
"Ward, H. A.",3
"W. B. Barrows",3
"W.D. Field",3
"Weems; Kimmel",3
"Weist_F",3
"Welch, 1949",3
"Welch, 1956",3
"(Weller), Brian S. Norford",3
"Werner Conradie, William R Branch, Krystal Tolley",3
"Whistler, David",3
"Whittington, DeMott",3
"Wigley-Theroux Reference Collection",3
"(Wilckens), Zeddie Paul Bowen",3
"Wilfred T. Neill",3
"Wilhelm Wolterstorff",3
"William C Brown",3
"William E. Hoyle",3
"William G. R. Crampton, Carlos D. de Santana",3
"William H. Pease",3
"William J. Fling",3
"William Lord Smith",3
"William L. Peters",3
"Williams; Bastin",3
"Williams; Ransome",3
"William S. Strain",3
"(Winchell+Marcy), Stumm",3
"Winchell; Schuchert",3
"(Winchell+Schuchert), Bradley",3
"Winchell+Schuchert, Bradley",3
"Worth H. Weller",3
"Worthington",3
"W. P. N. Canavan",3
"Wulp",3
"Wu, SK",3
"WWA, JWG",3
"W. W. Froggatt",3
"(Yandell+Shumard), Stumm",3
"Yuri A. Popov, Bernhard Kummel",3
"Zachos, Louis G.; Shaak",3
"Zangerl, Rainier",3
"Zetterstedt",3
"Zhanxiang Qiu",3
"Zidek, Jiri, (NMBMM), New Mexico Bureau of Mines and Mineral Resources (UNITED STATES)",3
"Zofia Kielan-Jaworowska, Demberelynin Dashzeveg, Boris A. Trofimov",3
"Zuhah Syed",3
"Zullo, Victor A.; Kite",3
".",2
"A. A. Valerio",2
"ABK",2
"A. C. Pont",2
"A. D. Allen",2
"A.D. Allen",2
"Adam D. Behlke",2
"ADL",2
"Adolphe Boucard",2
"Adolphe Desmier de Saint-Simone d'Archiac",2
"Adriano B. Kury",2
"Adrian S. Brink",2
"A. Dubois",2
"A. E. Brown",2
"A. Edwards",2
"A. Fetterman",2
"¿ fide Causey ¿",2
"A. Gallardo",2
"Agassiz, Jackson",2
"Agassiz, Kier",2
"A. G. Edmund",2
"A. González Tizón",2
"A. G. Richards",2
"A. J. Major",2
"A. J. Prins",2
"A. Kirejtshuk",2
"A. K. Miller",2
"Alberto Boscaini",2
"Albert Schwartz, Jr., J. R. Harrison",2
"Alcide d'Orbigny, Buckman",2
"Alcide d'Orbigny, F. de Lafresnaye",2
"Alcide d'Orbigny, Rudwick",2
"A. L. Edgar",2
"Alessandro De Maddalena",2
"Alexander B. Klots",2
"Alexander Derunkov",2
"Alexander Grant Ruthven, Frederick M. Gaige",2
"Alexander Lavrov",2
"Alexander Strauch, N. M. Przwalski",2
"Alexander Wilson",2
"Alexandre B. Bonaldo, Antonio D. Brescovit",2
"Alex E. Peden",2
"Alfred W. Ebeling, J. Alpert",2
"Alfred W. Ebeling, W.H. Weed",2
"Allen H. Morgan",2
"Allison C. Daley",2
"Allison; Moorman",2
"Alluand",2
"Alvin Seale, Rex Passion",2
"Amadon",2
"A. Marsh",2
"Amnon Freidburg",2
"Amsden; Boucot",2
"Amsden; Ventress",2
"A. N. Andersen",2
"Anders Gunnar Johannes Rhodin",2
"Anders M. C. Silfvergrip",2
"Andre Marie Constant Duméril, Gabriel Bibron",2
"Andrew D. Warren",2
"Andrew D. Williston, Bottle Label(s)",2
"(Angelin)",2
"Ann Moreton",2
"Anthony Barber",2
"Anticosti Expedition",2
"Antwerp Edgar Pratt",2
"Applin; Applin",2
"April Kinchloe",2
"A Rasnitsyn",2
"Archibald G. Huntsman",2
"A. R. Dugmore",2
"Armand Campagna Jr.",2
"Arne Fjellberg",2
"Arnold B. Grobman, Hignton",2
"Arnold Edward Ortmann",2
"A. Rossen",2
"Arthur B. Fuller",2
"Arthur C. Bent",2
"Arthur Loveridge, Thomas Barbour",2
"Arthur M. Lea",2
"Arthur Shapiro",2
"Arthur Sperry Pearse",2
"Arthur T. Hopwood",2
"Arthur William Baden Powell",2
"Arturo Morales",2
"Asako Matsumoto",2
"A.S. Bickmore Collection",2
"A. Schultze",2
"Ashley Poust",2
"Astemann, T",2
"A. Stone",2
"Ath.",2
"AToL",2
"Atwood, W.",2
"Auburn E. Brower",2
"A. W. Brockway",2
"A.W.M.",2
"Axel Hungerbuhler",2
"Štěpán Manda",2
"Bache Expedition 1872-1874",2
"B.A. Huber, 1999; J. Slowinski, DMNH, 2006",2
"Baird, Girand",2
"Bakker, Robert T.",2
"Balle, J.",2
"(Bancroft)",2
"Banner, 24.x.1973",2
"Barbara S. Grandstaff",2
"BARBARA VERA",2
"Bardwell",2
"Barnes Et Al",2
"Barnum Brown, Erich M. Schlaikjer",2
"(Barrande), Curtis R. Congreve, B. S. Lieberman",2
"(Barrande), Johnson",2
"(Barrande), Whittard",2
"(Barris)",2
"Barry Hughes",2
"Barwick",2
"Batsch",2
"BEARD",2
"Beatrice LaRue Burch",2
"B. Ebel",2
"B. E. Bodenbender",2
"Beck",2
"Beecher",2
"Beinert; Klapper; Sandberg; Ziegler",2
"Benham",2
"Benjamin F. Howell",2
"Benjamin K. Emerson, Frederick B. Loomis",2
"Benjamin T. Lowne",2
"Benson, Mary Ellen",2
"Berglund and Goedert",2
"Berlin Museum of Natural History",2
"Bermudez; Seiglie",2
"Bernice P. Bishop Museum",2
"Berta de Fernandez",2
"Berthold Neumoegen",2
"Beth Shapiro",2
"Beth Shapiro, Paul Matheus",2
"(Beyrich), Amadeus William Grabau",2
"(Beyrich), Bruton",2
"(Beyrich), Raymond",2
"Beyrich, Shaw",2
"(Beyrich), Whittington",2
"(Billings), Amadeus William Grabau",2
"(Billings), Carlton Brett, Thomas E. Whiteley, P. Allison, E. L. Yochelson",2
"(Billings), Clark",2
"(Billings), Ludvigsen",2
"(Billings), R. H. Flower",2
"Bill Lyle",2
"Bjorn Kurten",2
"B. J. Smith",2
"Blackwelder, Blake W., (USGS-R), U.S. Department of the Interior (UNITED STATES)",2
"Blaine Hebert",2
"Blake; Towe, Kenneth M.",2
"B. L. B., 1969",2
"Blfr.",2
"BMNH",2
"Bobb Schaeffer, Bryan Patterson",2
"Bodd.",2
"Bogush; Brenckle",2
"(Bohm), Alpheus Hyatt",2
"Bond",2
"Borg",2
"Boris C. Kondratieff",2
"Borja Sanchiz",2
"BOSQUET",2
"Bottle Label(s), Andrew D. Williston",2
"Boucot, Arthur J.",2
"Boucot; Boucot",2
"Boucot; Gill",2
"Bowles, Warren D. Allmon",2
"Bown, Thomas M., Colorado State University (UNITED STATES)",2
"Bowsher; Kirk",2
"(BRADY)",2
"(Branco), Buckman",2
"Brandon",2
"Breit",2
"Brenner",2
"Brian Morton",2
"(Broegger)",2
"Bronnimann, Paul; Beurlen, G.",2
"Brother Niceforo Maria",2
"Brown, Angel Chua Alcala",2
"Brown, Herman A. Fehlmann",2
"Brown, Marshall",2
"Brown, Myers",2
"Bruce A. Thompson, Karsten E. Hartel",2
"Bruce C. Panuska",2
"Bruce Cutler",2
"Bruce R. Erickson",2
"(Bruck, ), Alpheus Hyatt",2
"Brunton",2
"Bryan Patterson, Larry G. Marshall",2
"Bryan Patterson, Walter Segall, William D. Turnbull",2
"Bryant Walker",2
"B. Stark",2
"(Buch?)",2
"Buchanan",2
"Buffington",2
"Bulman, Rudolph Ruedemann",2
"Busch; Swartz",2
"Butts, Raymond",2
"B. Yumjitmaa",2
"Canals",2
"Cant, G.",2
"Canu, Ferdinand; Blainville",2
"Carl Gans, Kochua",2
"Carl H. Eigenmann, Rosa S. Eigenmann",2
"Carl J. Ferraris Jr., Richard P. Vari",2
"Carl Leavitt Hubbs, Robert L. Wisner",2
"Carlos B. Bumzahem, Smith",2
"Carlos D. de Santana, William G. R. Crampton",2
"Carl Owen Dunbar, Erik N. Kjellesvig-Waering",2
"Caroline S. Chaboo",2
"CARPENTER",2
"(Carpenter), Stewart",2
"Carriker; Yochelson",2
"CARTER",2
"Casseday",2
"Cazier",2
"C. B. Isham",2
"C. B. Linton",2
"C.B. Wood, et al.",2
"C.E. Weaver",2
"C. Girard",2
"Chaboo, Caroline S., University of Kansas",2
"Chandler, R.",2
"Chaney, Dan S., Museum Specialist (PAL), Smithsonian Institution - National Museum of Natural History (UNITED STATES)",2
"Chaney, R.W., Techter, D.",2
"C. Hansen",2
"Chapman, Ralph E.",2
"Chapuis",2
"Charles Cotton",2
"Charles Fish",2
"Charles Gilman Brewster",2
"Charles Haskins Townsend",2
"Charles H. Gilbert",2
"Charles Lee Williams",2
"Charles Mitchill Bogert",2
"Charles Mitchill Bogert, Edward E. Dorson",2
"Charles P. Alexander",2
"Charles Sarkady",2
"Charles S. Churcher",2
"Charles W. Andrews, Hugh J. Beadnell",2
"Charles Weaver",2
"Charles Wyville Thomson",2
"Chauncey W. Chamberlain",2
"C. H. B.",2
"C. H. Davis",2
"C. Hickman",2
"Chittenden",2
"C. H. Merriam",2
"Christina Franzen",2
"Christine Argot",2
"Christopher J. Bell",2
"Christopher P. Kenaley, Peter G. Burns",2
"Christopher P. Kenaley, Theodore W. Pietsch",2
"Chuankuei Li, Chan-siang Chiu, Defa Yan, Shu-hua Hsieh",2
"C. J. Louwerens",2
"(Clark), Franco Rasetti",2
"Clark L. Hubbs, Victor G. Springer",2
"(Clark), Ludvigsen",2
"Clark, Ludvigsen",2
"(Clark+Martin), Warren D. Allmon",2
"Clark, Whittington",2
"Clegg",2
"C. Lewis Gazin",2
"Clinton P. Haight Jr.",2
"Clive Forster Cooper",2
"C. M. Cook",2
"C. M. Fitch, Henderson",2
"Colin Groves",2
"(Conrad), Amadeus William Grabau",2
"(Conrad), Arthur J. Boucot",2
"(Conrad), Harris",2
"(Conrad), Stewart",2
"(Conrad), William B. Clark, Mayville W. Twitchell",2
"Cook",2
"Cornell University",2
"Costa",2
"(Cotteau)",2
"Cotteau, Kier",2
"C. Picchi",2
"(Cragin), Alpheus Hyatt",2
"C R. C. Paul",2
"C. R. Crosby",2
"Crick; Teichert, Curt",2
"Cruz Palacín",2
"Crystal Glassburn",2
"Csiki",2
"Cullom, Albert Schwartz, Jr.",2
"Curry",2
"Curtis",2
"Curt Schrottky",2
"Cushman; Hanzawa",2
"Cushman; Harris",2
"CUSHMAN, KLEINPELL",2
"CUSHMAN, LAIMING",2
"CUSHMAN, LE ROY",2
"C. Vogt",2
"C. Wagner",2
"C. W. Sabrosky",2
"Czjzek",2
"D. A. Dean",2
"Dailey; Popenoe",2
"Dall, William",2
"Dalman",2
"D. Ames",2
"Dana R. Kelley, Albert E. Wood",2
"Dan Danila",2
"Daniel J. Curran",2
"Daniel Snyder",2
"Daniel T. Jennings, James H. Redner",2
"Danny Dickman",2
"D'ARCHIAC",2
"D'Archiac+deVerneuil, Westermann",2
"Darlene D. Judd",2
"Darrell Ubick",2
"Darryl L. Felder",2
"Daud., Samuel Walton Garman",2
"Daugherty",2
"Dave Grimaldi",2
"David A. Grimaldi",2
"David B. Weishampel, John R. Horner",2
"David B. Weishampel, Philip R. Bjork",2
"David C. Parris, Craig De Tample, Rachel C. Benton",2
"David C. Scudder",2
"David E. Bixler",2
"David E. Techter",2
"David H. Kavanaugh",2
"David Hughes",2
"David J. Eisenhour",2
"David K. Carpenter, Howard J. Falcon-Lang, Michael J. Benton, Melissa Grey",2
"David Ortiz",2
"David R. Lindberg",2
"David Rohr, R. B. Blodgett",2
"David Spiller",2
"David Starr Jordan, John Otterbein Snyder",2
"David White",2
"David W. Kirtley",2
"Davis, Smith",2
"Davis, Steven R., Doctoral Candidate, University of Kansas (UNITED STATES)",2
"Dawn R. Mitchell",2
"Dawson, Burbank",2
"D. B. Berner, viii.1984",2
"D. B. Wahl",2
"Defa Yan, Yingiun Tang",2
"Defr",2
"DeFrance, Jackson",2
"(Defrance), Thomas",2
"(deGregorio), Warren D. Allmon",2
"(Dekay), Alpheus Hyatt",2
"DeKay, Rudkin+Tripp",2
"Dekay, Whittington",2
"De Klasz, Ivan; Rerat",2
"De Loriol, Canu+Bassler",2
"De Muizon, Christian; Domning, Daryl P.",2
"Denison",2
"Det. by:",2
"D. F. Hewett",2
"D. Idelfonso Perez Vigueras",2
"Dilcher, David L.; Herendeen; Hueber, Francis M.",2
"D. Kizirian",2
"D. L. Augustine",2
"D. Lopez",2
"D. L. Wagner",2
"DM",2
"D. M. Milliken",2
"Doane",2
"Donald Baird, Robert L. Carroll",2
"Donald B. Brinkman, Michael J. Densmore, Walter G. Joyce",2
"Donald Clinton Barton",2
"Donald C.Taphorn",2
"Donald G. MacInnes",2
"Donald W. Tinkle, Roger Conant",2
"Donat Agosti",2
"Don Buckle",2
"Donn L. Tippet",2
"(d'Orb.)",2
"Doris M. Cochran, Goin",2
"Douglas M. Boyer, Craig S. Scott, Richard C. Fox",2
"Doug Toland",2
"D. Quicke",2
"Dr. Alfred Buschinger",2
"Dr. Benton M. Stidd",2
"Dr. Brian W. Coad",2
"Dr. C.B. Kennerly",2
"D. R. Dickey, Adriaan Joseph van Rossem",2
"Dr. Hamlin",2
"Dr. Heinland",2
"Dr. Johan F. Bockelie",2
"Dr. John Oswald",2
"Dr. Joseph A. Cushman, Alva C. Ellisor",2
"Dr. Joseph A. Cushman, Esther R. Applin",2
"Dr. Joseph A. Cushman, Patricia G. Edwards",2
"Dr. Joseph A. Cushman, Shoshiro Hanzawa",2
"Dr. Kellerman",2
"Dr. Michael Sorenson",2
"Dr. Ranch",2
"Dr. Robert F. Inger, Romer",2
"D. Smith",2
"DuBois",2
"Dubois de Montpereux",2
"(Dumortier), Buckman",2
"(Dumortier), G. A. Moore",2
"D. W. Warner, B. E. Harrell",2
"Dyar",2
"Eagar, R. M.C.",2
"E. A. Lachner",2
"E. Allard",2
"E. Allison",2
"Eamonn Kelly",2
"Ebenezer Emmons",2
"E. Chevreux, Eugene Louis Bouvier",2
"E. D. Congdon",2
"Edgar A. Mearns",2
"E. Dickerson",2
"Edward A. Bangs, Outram Bangs",2
"Edward Alphonso Goldman",2
"Edward Copeland, Rolfe",2
"Edward J. Petuch",2
"Edward L. Mockford",2
"Edward Osborne Wilson, William Louis Brown Jr.",2
"Edward O. Ulrich",2
"Edward Royal Warren",2
"(Edwards+Haime), Davis",2
"Edward W. Moore",2
"Edwin C. Galbreath",2
"E.E. Williams",2
"E. Findeis",2
"E.H. Colbert",2
"Eigel Nielsen",2
"Eldredge",2
"Elise Marshall",2
"Elizabeth L. Brainerd",2
"Elizabeth L. Nicholls",2
"E. L. Lazard",2
"Ellen Ordway",2
"Ellis",2
"E. M. Howland",2
"Emil A. Goldi",2
"Emmanuel J. Vreven, Jos Snoeks",2
"Emmett Reid Dunn, Joseph R. Bailey, Jr.",2
"(Emmons), Shimer",2
"Emmrich, G. A. Moore",2
"Eric Baitchman",2
"Eric Buffetaut",2
"Erik Bertelsen, Jorgen G. Nielsen",2
"Erik N. Kjellesvig-Waering, Leif Stormer",2
"Erik Van Veenan",2
"Ernest E. Williams, Ernest",2
"Ernest E. Williams, Gustavo V. Orces, Juan Carlos Matheus, Robert E. Bleiweiss",2
"Ernest E. Williams, Stephen C. Ayala",2
"Ernest L. Lundelius",2
"Ernst Ehlers, Nataliya Dnestrovskaya",2
"Eshelman, Ralph E.",2
"E. Tarafeno",2
"Eva K. Fischer",2
"Evans; Milner",2
"Evenhuis",2
"E. W. Funcke",2
"E. W. Nelson",2
"Fabio M. Dalla Vecchia",2
"Fabrizio M. Machado",2
"Federico Castelli",2
"Fernando C. Jerep",2
"F. G. Hochberg",2
"F. H. Guerin[-Meneville]",2
"F. H. Moffitt",2
"Fide Maglio",2
"Fierstine, Harry L.",2
"Filippi",2
"F. Lagois",2
"(Fleming), Jackson",2
"(Fletscher in Salter",2
"Flower, Rousseau H.",2
"F. M. Chapman",2
"F. M. O'Neill, Spencer G. Lucas, Barry S. Kues",2
"Fong",2
"Foord",2
"(Ford)",2
"Forsten",2
"Francisco Mago-Leccia",2
"Francis J. Bell",2
"Francois E. Sumichrast",2
"Francois Therrien",2
"Frank",2
"Frank B. Smithe",2
"Frank Pezold, Douglass F. Hoese",2
"Frank R. Cole",2
"Frank Van Dingenen",2
"Fraser, M. A.",2
"Frech",2
"Frederick D. Godman",2
"Frederick D. Godman, Osbert Salvin",2
"Frederick Hotchkiss",2
"Frederick Knab",2
"Frederick McCoy",2
"Fred Kraus, Shepherd Myers",2
"F. R. Hunter",2
"Friedman, Matt",2
"Froehlich, David J.",2
"Furth",2
"F. W. Meinert",2
"F. Zeitteles",2
"GAGliver",2
"Galiano",2
"Galileo",2
"Galloway| WISSLER",2
"Galobart, A2, Angel",2
"Gamarck",2
"Gardner, James D., (RTMP), Royal Tyrrell Museum of Palaeontology (CANADA)",2
"Gareth J. Nelson, Karsten E. Hartel",2
"Gareth S. Powell",2
"Gareth S. Powell, Andrew R. Cline",2
"G. Arnold legacy",2
