"class","reps"
"Osteostraci",1
"Palaeoheterodonta",1
"Palaeonisciformes",1
"Pantodonta",1
"PARACRINOIDEA",1
"Patellogastropoda",1
"Pauropoda",1
"Phasmida",1
"PHYLACTOLAEMATA",1
"Pilosa",1
"Polycahaeta",1
"Polychaeta?",1
"Priapulida Class incertae sedis",1
"Problematica Class incertae sedis",1
"Productida",1
"Prosobranchia",1
"Protomedusa",1
"Pseudorthocerida",1
"Psilotopsida",1
"Pteridopermopsida",1
"Pterosauria",1
"Pucciniomycetes",1
"Radiocyatha",1
"REGULARES",1
"ROSTROCONCHIA",1
"Rudista",1
"SARCODINA",1
"Sauropterygia, Eosauropterygia",1
"Sclerospongea",1
"Scyphoxoa",1
"Solemyoida",1
"Sordariomycetes",1
"Spumellaria",1
"STYLOPHORA",1
"Temnopleuroida",1
"Terebellida",1
"Trigonioida",1
"Trilobozoa",1
"Tubulothalamea",1
"Unassigned",1
"Xenusia",1
