"family","reps"
"Pelobatidae",790
"Oxytomidae",789
"Rhynchoporidae",789
"TRACHYLEBERIDIDAE",789
"Leperditiidae",788
"Cimolestidae",787
"Eurhinodelphinidae",786
"Pleuronectidae",786
"Cetotheriidae",785
"Ficidae",785
"Mesotrypidae",784
"Lichidae",783
"Ptilodontidae",783
"Bregmacerotidae",779
"Pantolestidae",774
"Polymorphinidae",774
"Solenopleuridae",774
"Suidae",772
"Zosteropidae",772
"Dicruridae",771
"Anthracotheriidae",770
"Dromaeosauridae",769
"Plicatulidae",768
"Bolivinidae",767
"Hydrophiidae",767
"Tonnidae",767
"BULLIDAE",766
"Agriochoeridae",764
"Gypidulidae",763
"Cotingidae",761
"Spheniscidae",760
"Dicaeidae",758
"HIATELLIDAE",757
"Paraparchitoidea",756
"Varanidae",756
"Grapsidae",755
"Certhiidae",754
"Billingsellidae",753
"SORICIDAE",753
"Agelenidae",752
"Echinolampadidae",752
"CANIDAE",751
"Trematoporidae",751
"Philodromidae",750
"Praecardiidae",749
"Receptaculitidae",749
"Enidae",743
"Cochliodontidae",742
"Lagenidae",742
"Ctenodontidae",739
"Orbitremitidae",738
"Barbourofelidae",737
"Braconidae",736
"Odobenidae",736
"ARCHITECTONICIDAE",735
"Berberidaceae",735
"Uloboridae",735
"Bullinidae",734
"Sparassidae",734
"Phalaropodidae",733
"Schizasteridae",733
"Aegithalidae",732
"Balistidae",732
"Dormaaliidae",732
"Hominidae",731
"Anacardiaceae",728
"Paramyidae",728
"Dromomerycidae",726
"Oleacinidae",726
"Stromatoporidae",726
"Vespidae",726
"SPONDYLIDAE",721
"CYLICHNIDAE",720
"Cerithiopsidae",716
"Perisphinctidae",716
"Trichechidae",716
"ECHINOLAMPADIDAE",715
"Raninidae",715
"Conocoryphidae",713
"Pseudomonotidae",713
"Caryophylliidae",711
"Otariidae",711
"Glyptocrinidae",710
"Nucleospiridae",710
"CASSIDAE",709
"Ceratopsidae",708
"Hydropsychidae",708
"Pirasocrinidae",708
"MODULIDAE",705
"Ramphastidae",705
"Meropidae",704
"CAECIDAE",703
"Gruidae",703
"Ericaceae",702
"LEPIDOCYCLINIDAE",701
"Rzehakinidae",701
"Aulostegidae",700
"Magnoliaceae",700
"CHASMOCARCINIDAE",699
"Erethizontidae",697
"Palaeomerycidae",697
"Tabanidae",697
"Dawsonoceratidae",696
"Pugnacidae",692
"Cuspidariidae",689
"PLEIOPTYGMATIDAE",689
"Cyrtospiriferidae",687
"MERYCOIDODONTIDAE",687
"SAGENODONTIDAE",687
"Noetiidae",684
"Lutjanidae",683
"Bothrophyllidae",681
"Hauerinidae",676
"Meekospiridae",676
"Phanerotrematidae",676
"Dendrograptidae",674
"TRIVIIDAE",672
"Bursidae",670
"Synodontidae",670
"Sphyrnidae",666
"unplaced",666
"Cassidulidae",664
"Glyptorthidae",663
"Bucconidae",661
"Eocrinidae",660
"Gelocidae",659
"Moridae",658
"Emballonuridae",657
"Pleurodiscidae",656
"Granatocrinidae",655
"Hildoceratidae",655
"Solemyidae",653
"Alethopteridaceae",652
"Buprestidae",652
"Julidae",652
"Megachilidae",652
"Momotidae",651
"Hipponicidae",650
"Acrotretidae",648
"Mioclaenidae",648
"Natalidae",647
"Scaridae",646
"Dendrophylliidae",645
"Psalixochlaenaceae",645
"Platycrinitidae",644
"Caviidae",641
"Solecurtidae",640
"Ichthyodectidae",638
"Mellitidae",638
"Gadilidae",637
"CERVIDAE",635
"Phragmoceratidae",634
"Tainoceratidae",630
"Ceramoporidae",629
"Strophalosiidae",628
"CUPULADRIIDAE",627
"Dytiscidae",627
"TROCHIDAE",627
"Pisocrinidae",624
"Schizoblastidae",621
"Squalidae",621
"Chrysopidae",620
"Loricariidae",618
"Ichneumonidae",617
"Martiniidae",615
"Ptilodictyidae",614
"Meloidae",612
"Nomeidae",612
"BOVIDAE",611
"LEUCOSIIDAE",611
"Reticulariidae",608
"Acanthocladiidae",606
"Cimolomyidae",606
"Hybodontidae",606
"Chlopsidae",605
"Captorhinidae",604
"Euproopidae",604
"XENOPHORIDAE",603
"Anostomidae",602
"FICIDAE",602
"Rhinolophidae",600
"Agelacrinitidae",599
"CALAPPIDAE",598
"Empididae",596
"Apatemyidae",593
"Evermannellidae",591
"Chaetodontidae",590
"Oriolidae",590
"HYPERTRAGULIDAE",589
"Geometridae",588
"Pimelodidae",588
"Clypeasteridae",587
"Scapherpetontidae",587
"Pomatiasidae",586
"ASTROPECTINIDAE",585
"Cancridae",585
"Menispermaceae",584
"Chaetetidae",583
"Constellariidae",583
"Ariidae",582
"Euconulidae",582
"Ophiuridae",582
"Actinocrinitidae",581
"Champsosauridae",581
"Strophonellidae",581
"AMPHICYONIDAE",580
"Cornulitidae",580
"Parabolinoididae",580
"Desmoceratidae",579
"Derichthyidae",578
"Nereididae",576
"Valloniidae",576
"Desmostylidae",575
"Podocarpaceae",575
"Gasterosteidae",574
"Notosudidae",574
"Sirenidae",574
"Oreohelicidae",573
"Ornithocheiridae",573
"Nummulitidae",572
"Lophophyllidiidae",570
"Cebidae",569
"Ciidae",569
"Coccinellidae",569
"Elmidae",569
"CLYPEASTERIDAE",568
"Blenniidae",567
"Tinamidae",567
"SIDERASTREIDAE",564
"Arietitidae",562
"Family incertae sedis",562
"Munididae",562
"OLIGOPYGIDAE",561
"Poaceae",559
"Planaxidae",558
"Petricolidae",557
"Chelidae",556
"Hipposideridae",556
"Compositae",554
"LIMIDAE",554
"Caprinuloideidae",553
"Conocardiidae",553
"Mesodesmatidae",552
"Caeciliaidae",551
"Nephropidae",551
"Dasyproctidae",550
"PYRGOMATIDAE",550
"Bothremydidae",548
"Ptychopariidae",548
"Pterocephaliidae",544
"Geolabididae",543
"Psocidiidae",542
"Oxyclaenidae",541
"Dictynidae",540
"Stauropteridaceae",540
"Melanopsidae",539
"Trochomorphidae",539
"Embiotocidae",537
"Enchodontidae",537
"Malvaceae",537
"Proscalopidae",537
"Pterygotidae",537
"Hemicystitidae",536
"Sagenodontidae",535
"PORITIDAE",534
"Homocrinidae",533
"Palmae",532
"Rhomboporidae",532
"Eoorthidae",529
"Atrypinidae",528
"Aceraceae",527
"crocodile indet.",527
"Beecheriidae",525
"ICHTHYODECTIDAE",525
"Colletidae",523
"Gypsonictopidae",523
"Microceramidae",523
"Valvatidae",523
"Ocypodidae",522
"CASTORIDAE",521
"Cynipidae",521
"Oxyaenidae",521
"Plectambonitidae",521
"Cardiniidae",520
"PROTOSCUTELLIDAE",519
"SCHIZOPORELLIDAE",515
"Syringoporidae",515
"Poritidae",514
"Threskiornithidae",514
"Hamineidae",513
"NEOPLAGIAULACIDAE",513
"Palaeoniscidae",513
"Petalodontidae",513
"Retusidae",513
"Diomedeidae",512
"Elviniidae",512
"Raphiophoridae",512
"Sphaeriidae",510
"Uncertain",510
"Bagginidae",509
"DAKOTICANCRIDAE",507
"Pomacanthidae",507
"Tillotheriidae",507
"Batillariidae",506
"Cracidae",506
"Isognomonidae",506
"Ceratopogonidae",505
"Lithostrotionidae",505
"Squalodontidae",505
"Girtycoeliidae",503
"Holocentridae",502
"Bramidae",501
"Asilidae",500
"Palaeocarididae",500
"Diacodexeidae",499
"Andrenidae",497
"Cassidulinidae",497
"HELICINIDAE",497
"Leptognathiidae",496
"Halysitidae",494
"Syringothyrididae",494
"TEREBRATULIDAE",493
"Cavoliniidae",492
"Interatheriidae",492
"Idahoiidae",490
"Vitaceae",490
"Cosmetidae",489
"Elphidiidae",489
"MENIPPIDAE",488
"Polynoidae",488
"Entelodontidae",486
"Apogonidae",485
"Esthonychidae",485
"Lissatrypidae",485
"Paradisaeidae",485
"GASTROCHAENIDAE",484
"Ischyromidae",484
"Pandoridae",484
"Araliaceae",483
"Limnephilidae",483
"Lyelliceratidae",483
"Echinosphaeritidae",482
"Halliporidae",480
"Brissidae",479
"Iocrinidae",479
"Phyllophaga",479
"Calliostomatidae",478
"Cultellidae",478
"Vasidae",478
