"index.phylum","reps"
"homotherium",1
"homotherium serum",1
"hudsonelpidia",1
"hyaenodon cf.",1
"hybodus",1
"hymenoptera",1
"hypolagus regalis ?",1
"icaronycteris index",1
"ichneumonidae",1
"ichnofacies",1
"ichnofossil?",1
"ichthyodectes sp.",1
"ictidomys ?",1
"ictidomys tridecemlineatus ?",1
"incilius alvarius cf.",1
"jacobsomys verdensis",1
"kachpurites fulgens",1
"kenella",1
"kosmoceras",1
"lambeosaurinae",1
"lanius ludovicianus",1
"lanius sp.",1
"laqueus vancouveriensis",1
"larix",1
"larus sp.",1
"lasaea",1
"lemmiscus curtatus ?",1
"lemmus sibiricus",1
"leporidae ?",1
"limnodromus scolopaceus",1
"limnodromus scolopaceus cf.",1
"linoproductidae",1
"liocyma fluctuosa",1
"liocyma fluctuosum",1
"liocyma viride",1
"liomesus nux",1
"lithobates ?",1
"litorhadia",1
"lochriea commutata",1
"lora viridula",1
"lucina acutilineata",1
"lucina pensylvanica",1
"lunatia pallida",1
"lycopsida",1
"macgowania sp.",1
"macoma albaria",1
"macoma brota",1
"macoma indentata",1
"macoma middendorffi",1
"macoma sookensis",1
"mammalia ?",1
"mammalia cf.",1
"marcia",1
"marginella precursor",1
"marginiferidae",1
"martes ?",1
"martinia",1
"megadolodus molariformis",1
"megalneusaurus",1
"megalonychidae",1
"megalonyx wheatleyi",1
"megascops kennicottii cf.",1
"megayoldia",1
"meleagris crassipes ?",1
"meleagris gallopavo cf.",1
"mellita",1
"mellitella",1
"melongena",1
"melospiza cf.",1
"menispermaceae",1
"mennerella ovata",1
"mercimonia bunkeri",1
"mergus merganser cf.",1
"merriamaster arnoldi",1
"merriamosauria",1
"mesopuzosia",1
"metoposaurus sp.",1
"milleporidae",1
"mimomys",1
"mimus polyglottos ?",1
"miozoa",1
"mitorthoceras",1
"mitrella carinata",1
"mollusca?",1
"molossidae ?",1
"molusca",1
"monotis subcircularis",1
"mosasauridae",1
"mulinia",1
"multituberculata",1
"mylohyus nasutus",1
"mysella tumida",1
"myurella",1
"myzostomida",1
"natica canrena",1
"natica janthostoma",1
"natica teglandae",1
"navahoceros fricki cf.",1
"navahoceros sp.",1
"neofiber sp.",1
"neogastropoda",1
"neovison vison cf.",1
"nipponotrophon stuarti",1
"niso",1
"no",1
"notogillia wetherbyi",1
"notolagus lepusculus",1
"nucifraga ?",1
"numenius cf.",1
"odobenus rosmarus",1
"odontoceti",1
"oenopota",1
"oenopota krausei",1
"oenopota rugulata",1
"ophthalmosaurinae",1
"oreamnos harringtoni",1
"oreamnos harringtoni cf.",1
"oreortyx pictus cf.",1
"ornithomimidae",1
"osteichthyes ?",1
"ostracoda",1
"other gymnosperms",1
"otoites contractus cf.",1
"otoites pauper cf.",1
"ovibos or bison",1
"ovis or oreamnos",1
"pachycephalosaurus",1
"pachystrophia",1
"pachyteuthis",1
"palaeosyops paludocus",1
"panope generosa",1
"panthera atrox ?",1
"panthera leo ?",1
"panthera or smilodon",1
"parabigotites crassicostatus ?",1
"paracentrotus",1
"parvilucina",1
"passeriformes ?",1
"passeriformes cf.",1
"patellina sp.",1
"pedicularis pennellii",1
"perissodactyla",1
"perissodactyla or artiodactyla",1
"phenacodus primaevus",1
"phyllostomidae cf.",1
"phylum indet.",1
"pilosa ?",1
"pipilo ?",1
"pipilo erythrophthalmus cf.",1
"pipilo maculatus ?",1
"piranga cf.",1
"placozoa",1
"plagiorchiida",1
"platycrinites nikondaense",1
"plestiodon multivirgatus",1
"plestiodon sp.",1
"podicipediformes sp.",1
"poebrotherium andersoni",1
"polychaeta",1
"priapulida?",1
"primnoa",1
"productoidea",1
"prosigmodon",1
"prosigmodon sp.",1
"prosobranchia",1
"protothaca staminea",1
"protozoa incertae sedis",1
"psephaea corrugata",1
"pseudophyllites indra",1
"pseudosimobelus sp.",1
"pseudoxybeloceras",1
"pulmonata",1
"pungitius sp.",1
"pusula orientalis",1
"quereuxia angulata",1
"quiscalus ?",1
"rabdotus dealbatus",1
"rallidae ?",1
"rallidae cf.",1
"rangifer tarandus ?",1
"recurvirostridae ?",1
"recurvirostridae or scolopacidae",1
"repomys panacaensis cf.",1
"retaria (subplylum radiozoa)",1
"rexithaerus expansa",1
"rhinocheilus lecontei ?",1
"rhynchonelliformea",1
"rhynchotherium praecursor",1
"rhytiodentalium",1
"rodentia ?",1
"rostroconchia",1
"salenia",1
"salenocidaris",1
"salvadora ?",1
"scaphella floridana",1
"schizothaerus nuttalli",1
"scleractinian",1
"scolopacidae",1
"sconsia",1
"scutellaster",1
"scutellaster interlineatus",1
"scutellaster major",1
"scutellaster quaylei",1
"scyphozoa",1
"serpentes cf.",1
