"specificEpithet","reps"
"avara",447
"obtusa",447
"acuticuspidata",446
"canus",446
"costatum",446
"gryphorhyncha",446
"jeffersoni",446
"multicostata",446
"CANCELLATA",445
"MURICATA",445
"proteus",445
"riddellensis",445
"rubicunda",445
"festivus",444
"mira",444
"moondarra",444
"ORNATA",444
"peculiaris",444
"pseudopallida",444
"cookei",443
"peronii",443
"rigida",443
"aurifrons",442
"binneyana",442
"bridgerensis",441
"pelta",441
"tenera",441
"asiatica",440
"bassleri",440
"biforata",440
"bradyi",439
"DISLOCATA",439
"logani",439
"pustulosus",439
"aldrichi",438
"caudata",438
"neckeri",438
"parnellii",438
"pileatus",438
"verticalis",438
"apiculata",437
"clarus",437
"hypoleuca",437
"walshi",437
"daemeli",436
"falcatus",436
"glans",436
"leucogaster",436
"muricatus",436
"extremus",435
"niloticus",435
"carteri",434
"superciliosus",434
"bulimoides",433
"gossei",433
"interjectus",433
"mascareniensis",433
"odontopteroides",433
"pinguis",433
"pumilio",433
"sitiens",433
"cryptica",432
"europaeus",432
"hamiltonensis",432
"magnolia",432
"annulatum",431
"osagensis",431
"problematicus",431
"reinhardtii",431
"washingtoniana",431
"CENTRALIS",430
"MICROBRACHIUS",430
"occidentale",430
"speleodytes",430
"CONGESTA",429
"turneri",429
"canaliculatum",428
"bibronii",427
"texasiana",427
"fumigatus",426
"pomona",426
"queenslandica",426
"wilcoxensis",426
"dimidiatus",425
"dutertrei",425
"furcatus",425
"haysii",425
"homolechis",425
"pectoralis",425
"sansabeanus",425
"stehlini",425
"terrestris",425
"galiani",424
"gebhardi",424
"japonicus",424
"magnicosta",424
"massa",424
"nigricollis",424
"PECTINATA",424
"alternatum",423
"anodontoides",423
"erosa",423
"primigenius",423
"spiralis",423
"williamsi",423
"anasillosus",422
"arthemis",422
"aurea",422
"centralis",422
"jordani",422
"lactea",422
"naevia",422
"notata",422
"phlaeas",422
"platensis",421
"subplana",421
"wacoensis",421
"ALTERNATA",420
"cuneatus",420
"melo",420
"peregrinus",420
"elevata",419
"rotundus",419
"sericea",418
"serlii",418
"trivittatus",418
"barbadensis",417
"fragosa",417
"hybrida",417
"scopelotemos",416
"xanthognathus",416
"benoiti",415
"edensis",415
"molesta",415
"striatum",415
"agorus",414
"attenuatus",414
"DIVISUS",414
"dilepis",413
"naviforme",413
"vivipara",413
"atriceps",412
"cryptotympanum",412
"fuliginosa",412
"horridus",412
"ingens",412
"LEONENSIS",412
"termitobium",412
"venustus",412
"relictus",411
"albilabris",410
"cockerelli",410
"desori",410
"melancholicus",410
