"index.order","reps"
"perischoechinoidea",11
"sessilia?",11
"silicoflagellata",11
"symphypleona",11
"volborthellida",11
"amphitheriida",10
"anthocerotales",10
"ausktribosphenida",10
"calamopityales",10
"cathartiformes",10
"cephalopoda",10
"chaetocerotales",10
"channiformes",10
"coelenterata",10
"dendrophyllidae",10
"dicksoniales",10
"dicranales",10
"euonychophora",10
"favositidae",10
"helicoidea",10
"hexasterophora",10
"jungermanniales",10
"liceales",10
"nassellariina",10
"ottokariales",10
"palaeoscolecida",10
"pholidopleuriformes",10
"ptyhcopariida",10
"rept track",10
"rhynchosauria",10
"salvinales",10
"zoantharia",10
"agaricales",9
"amphiporida",9
"bird tracks",9
"ctenothrissiformes",9
"diplura",9
"disasteroida",9
"gastornithiformes",9
"macrostomida",9
"megalodontoidea",9
"nassellarida",9
"nectiopoda",9
"plesiadapiformes",9
"pleurotomariida",9
"praecardiidina",9
"rhabdosphaerales",9
"spirophorida",9
"syracosphaerales",9
"syringostromatida",9
"teuthidida",9
"theropoda",9
"tryblidioidea",9
"vendotaeniida",9
"amphioxiformes",8
"archinacelloidea",8
"barinophytales",8
"bioclaustration",8
"bradyodonti",8
"brooksellida",8
"chasmataspidida",8
"chondrosiida",8
"choristida",8
"\cladodont\",8
"clathrodictyida",8
"copodontiformes",8
"cytheroidea",8
"escalloniales",8
"haplolepiformes",8
"hemiaulales",8
"hemizonida",8
"heterobrancia",8
"leptophloeales",8
"lychniskida",8
"neritoida",8
"ostracoda",8
"paraselachii",8
"pucciniales",8
"rhynchonellacea",8
"seeds",8
"semaeostomatida",8
"sphaeronitida",8
"symbiida",8
"tetracorallia",8
"tillodonta",8
"tselfatiformes",8
"unknown",8
"alepisauriformes",7
"annelida",7
"archosauria",7
"atremata",7
"cystoidea",7
"czekanowskiales",7
"dentiliida",7
"dioscoreales",7
"eunicemorpha",7
"heliolitida?",7
"hymenochaetales",7
"jurinodendrales",7
"microchonchida",7
"myodocopina",7
"neritoina",7
"olenellida",7
"oligacanthorhynchida",7
"oncoceratida",7
"orthopsida",7
"plagioglyptaceae",7
"platycopina",7
"rhaponeidales",7
"salpida",7
"strepsiptera",7
"verospongiida",7
"actinoceroidea",6
"actinodontida",6
"amborellales",6
"amph track",6
"anagaloidea",6
"arcidae",6
"cephalobaenida",6
"chaetodontiformes",6
"cupressales",6
"dechellyales",6
"decopoda",6
"dennstaedtiales",6
"dictyosteliida",6
"dictyotales",6
"diphyllobothriidea",6
"ectocarpales",6
"fenestellida",6
"hymenostraca",6
"insectivora? indet.",6
"lepospondyli",6
"moniliformida",6
"oedogoniales",6
"palaechinoidea",6
"peltigerales",6
"phanerocephala",6
"poduromorpha",6
"polychaeta",6
"proparia",6
"pteridophyta",6
"regulares",6
"stellispongiida",6
"tabulaconida",6
"vampyromorpha",6
"actinostromatida",5
"bellerophontina",5
"bolosauria",5
"bubarida",5
"carchariniformes",5
"carterinida",5
"chrysomonadida",5
"cimolestida",5
"conchopeltida",5
"cowiedesmida",5
"ctenocystoida",5
"ctenostomida",5
"dasycladles",5
"dendroceratida",5
